"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"HYPEUSDT","9.8","04-07 12:00","422","0.71","0.84","48","-5.6","-12.5",,"0.0022","0.93","0.66","85","-3","-10.5",,"0.0043"
"1000000BOBUSDT","17.6","04-16 09:00","416","0.93","1.36","70","24.1","-3",,"0.1045","0.8","1.21","60","20.9","-5.2",,"0.0723"
"LAUSDT","8.1","04-12 21:00","416","1.23","0.98","5","-17.6","-30.7",,"0.0042","0.67","0.83","21","-7.3","-27",,"0.0046"
"HOMEUSDT","9.7","04-03 04:00","411","0.59","0.91","20","23","-18.2",,"0.005","2.09","1.07","23","27.2","-16.1",,"0.0047"
"RESOLVUSDT","19.1","04-01 15:00","410","0.52","0.66","13","33.8","-30.6",,"0.0009","0.86","0.72","72","39.2","-26.9",,"-0.0016"
"TAIKOUSDT","6.3","04-26 00:00","410","0.87","1.73","67","3.4","-16.7",,"0.005","0.7","1.29","62","1.1","-18.5",,"0.005"
"SQDUSDT","27.2","04-05 13:00","410","0.46","0.52","21","-16.6","-20",,"0.005","0.75","0.71","54","-10.2","-17",,"0.005"
"PUMPBTCUSDT","44.2","04-23 12:00","408","0.3","0.32","42","27.4","-18.5",,"0.0206","0.58","0.44","51","29.3","-16",,"0.024"
"SPKUSDT","104","04-22 10:00","404","2.65","2.19","87","56.2","-4.5",,"0.0042","4.96","17.12","29","32.7","-20.3",,"-0.0114"
"MYXUSDT","170.9","04-13 06:00","403","1.03","0.81","32","-11","-37.3",,"0.0054","0.7","0.58","29","-6.4","-32.9",,"0.0075"
"FUSDT","18.6","04-06 00:00","403","0.52","0.52","80","-8.3","-11.2",,"-0.0011","0.55","0.62","33","-11.1","-11.5",,"0.0028"
"NEWTUSDT","21.6","04-20 11:00","401","1.13","0.83","78","15.7","-5.4",,"0.0044","1.46","0.63","4","15","-10.5",,"0.0044"
"HUSDT","31.2","04-21 05:00","396","1.36","0.61","9","21.8","-29.8",,"0.005","2.17","1.32","6","21","-28",,"0.0074"
"SAHARAUSDT","18.4","04-24 12:00","395","0.86","1.03","45","-2.6","-23.5",,"0.0044","1.3","0.97","16","-5","-25.2",,"0.0046"
"ICNTUSDT","24.1","04-16 22:00","387","1.67","1.95","53","-13","-31.2",,"0.005","2.65","2.27","94","-14.6","-26.8",,"0.005"
"BULLAUSDT","119.7","04-06 02:00","387","3.47","9.38","63","19.7","-15.2",,"0.0393","0.8","0.69","19","-17.1","-20",,"0.0368"
"IDOLUSDT","15.9","04-15 21:00","387","1.46","2.76","29","-5.3","-18.3",,"0.005","2.33","1.88","30","-9.7","-17.1",,"0.005"
"MUSDT","36.3","04-21 04:00","384","3.79","2.26","43","19.4","-29",,"0.0112","10.15","2.94","30","23","-29.9",,"0.0241"
"PUMPUSDT","11.1","04-06 23:00","381","1.12","0.81","38","-7.3","-12.8",,"0.004","0.37","0.56","78","-5.2","-13.2",,"0.0033"
"CROSSUSDT","61.4","04-10 06:00","381","0.54","0.65","5","-9.3","-14.6",,"0.005","0.61","0.97","45","-10.2","-12.2",,"0.005"
"AINUSDT","105","04-11 11:00","381","1.01","0.97","89","1","-37",,"0.0135","0.7","0.86","39","-0.5","-40.2",,"0.013"
"CUSDT","28.7","04-03 01:00","376","1.2","0.21","3","-15","-35",,"-0.0345","0.51","0.21","66","5.3","-22.1",,"-0.0179"
"VELVETUSDT","36.8","04-22 08:00","376","1.08","1.25","83","36.6","-19.3",,"0.0154","0.52","0.74","40","18.9","-30",,"0.007"
"TACUSDT","52.9","04-22 15:00","376","1.85","9.87","49","66.5","-14.4",,"0.0247","0.42","0.45","37","60.1","-14.8",,"0.0253"
"ERAUSDT","9.9","04-05 13:00","373","1.15","0.71","9","-6.7","-10.2",,"0.0044","1.1","0.95","62","-9.8","-8.8",,"0.0049"
"TAUSDT","18.6","04-01 10:00","370","2","1.19","46","-12.4","-40.7",,"0.005","2.41","1.21","17","-13.2","-39.4",,"-0.0062"
