"symbol","d1","d7","d30","runup","bars","price"
"API3USDT","1.7","-11.7","-10.8","25.4","31","0.1983"
"GMTUSDT","-0.6","-7.7","-12.5","16.6","31","0.006642"
"APEUSDT","-1.2","3.4","3.2","28.2","31","0.1504"
"WOOUSDT","-0.9","-7.2","10.5","31","31","0.01202"
"JASMYUSDT","-1.2","-2.9","-1.7","18.3","31","0.004325"
"OPUSDT","-0.3","-8.1","-11.4","20","31","0.089"
"INJUSDT","-0.6","-11","-2.7","23.9","31","4.6"
"STGUSDT","0.1","-11.9","-24.1","24.5","31","0.1239"
"SPELLUSDT","-0.5","-6.3","-15.8","37","31","7.98E-05"
"1000LUNCUSDT","-0.6","-11.3","-17.6","15.1","31","0.05049"
"LUNA2USDT","-0.2","-10.8","-15.1","17.2","31","0.04083"
"LDOUSDT","-1.2","-8.9","43.7","75.3","31","0.3631"
"ICPUSDT","-0.3","-4.3","-4","17.1","31","2.11"
"APTUSDT","-0.7","-6.5","0.3","17.6","31","0.5824"
"QNTUSDT","0","-4.9","-7.7","8.3","31","60.55"
"FETUSDT","-1.7","-12.4","-22.7","13.9","31","0.1367"
"MAGICUSDT","0.1","-4.8","-7.8","18.6","31","0.04078"
"TUSDT","-0.5","-4.7","1.3","90.9","31","0.00349"
"MINAUSDT","-0.3","-6.7","11.7","44.6","31","0.04286"
"ASTRUSDT","-0.5","-5.4","-2.7","15.5","31","0.004935"
"GMXUSDT","-0.5","4.9","27","42.3","31","6.896"
"CFXUSDT","0","-9.2","-1","15","31","0.04265"
"STXUSDT","-0.4","-18.9","-17.7","17.7","31","0.1373"
"ACHUSDT","-0.7","1.6","-0.2","30.9","31","0.004359"
"SSVUSDT","-0.1","3.1","5.8","25.4","31","2.132"
"CKBUSDT","-0.6","-7.8","-7.4","15.7","31","0.000853"
"LQTYUSDT","-1.3","14.5","7.6","38.5","31","0.1962"
"USDCUSDT","0","0","0","0.1","31","1.000468"
"IDUSDT","-0.5","-11.7","-20.5","32.8","31","0.02785"
"ARBUSDT","-0.1","-12.5","2.8","38.9","31","0.07889"
"JOEUSDT","-0.3","-11.7","-13.1","15.5","31","0.02485"
"TLMUSDT","-0.4","-6.9","89.1","433.7","31","0.001672"
"HFTUSDT","-0.7","1.7","10.2","40.8","31","0.00933"
"XVSUSDT","-0.6","0.5","15.5","27.6","31","2.796"
"BLURUSDT","0.2","-6.8","-0.3","85.6","31","0.01469"
"EDUUSDT","-1.2","2.2","1.3","29","31","0.03151"
"SUIUSDT","-0.2","-9.6","-1.6","16.5","31","0.691"
"1000PEPEUSDT","-0.7","-3.5","18.4","39.3","31","0.0027868"
"1000FLOKIUSDT","-0.5","-3.8","-6.7","17.3","31","0.02074"
"UMAUSDT","-0.4","-3.4","-7.7","18.1","31","0.3564"
"NMRUSDT","-0.9","-10.2","0.6","28.1","31","8.455"
"MAVUSDT","-0.5","-7.5","-10.7","30.7","31","0.00835"
"XVGUSDT","-0.6","-8.3","-10.8","21.5","31","0.001988"
"WLDUSDT","-2.7","-19.5","-26.4","26.5","31","0.3096"
"PENDLEUSDT","-0.8","-10.3","8.4","36.5","31","1.4641"
"ARKMUSDT","-0.2","-10.7","-13.9","17.4","31","0.0989"
"AGLDUSDT","0.1","-7","-31.8","39.4","31","0.1445"
"YGGUSDT","-0.9","-5.7","-21.4","21.7","31","0.01769"
"DODOXUSDT","-2.3","-12.6","-9.2","96.3","31","0.016982"
"BNTUSDT","0.3","0","10.7","20.2","31","0.2802"
"SEIUSDT","-0.5","-7.5","-13.9","12.2","31","0.0429"
"CYBERUSDT","-0.4","-9.1","-12","18.1","31","0.3067"
"ARKUSDT","-0.1","-8.3","-9.8","11.6","31","0.0965"
"BICOUSDT","-0.5","-13.9","-36.7","38.4","31","0.01192"
"BIGTIMEUSDT","-0.7","-11.7","-19.9","14","31","0.005928"
"WAXPUSDT","-0.3","-6.6","-9.7","11.2","31","0.00372"
"BSVUSDT","-0.3","-5.3","2.5","27.8","31","12.92"
"RIFUSDT","-22.1","9.9","0","203.6","31","0.07364"
"POLYXUSDT","-0.2","-10.1","-8.7","17.9","31","0.03381"
