"symbol","d1","d7","d30","runup","bars","price"
"ALLUSDT","-0.3","-4.1","-2.9","11.9","31","0.4644"
"INUSDT","-1.6","-15.8","-71.5","306.8","31","0.03526"
"CARVUSDT","0","-8.8","-21.9","14.1","31","0.0284"
"AIOUSDT","-0.7","-22.2","-0.5","43.6","31","0.0921"
"XNYUSDT","1.7","-3.4","29.5","65.7","31","0.006514"
"USELESSUSDT","-0.7","-15.4","-34.4","46.1","31","0.05258"
"SAPIENUSDT","2.1","-1.3","9.7","27.2","31","0.08148"
"XPLUSDT","-0.2","-1.7","-20.5","37.6","31","0.08341"
"WLFIUSDT","0","-2.6","-7.9","32.8","31","0.05468"
"SOMIUSDT","0","-11.9","-12","33.4","31","0.0883"
"BASUSDT","-0.2","-15.8","-53.5","94.7","31","0.026541"
"BTRUSDT","-1.1","-3.4","-14","16.8","31","0.01726"
"MITOUSDT","-0.3","-9.7","-7.3","37.5","31","0.02238"
"HEMIUSDT","0.3","-9.8","1.8","93.8","31","0.004556"
"LINEAUSDT","-0.4","-4.8","-0.1","16.6","31","0.00234"
"QUSDT","0.5","11.6","27","59.9","31","0.02208"
"ARIAUSDT","-0.1","-2.7","-1.7","54.5","31","0.02597"
"TAKEUSDT","-0.9","-3.9","39.4","69.2","31","0.02184"
"PTBUSDT","-1","2.4","25.6","61.8","31","0.0006125"
"OPENUSDT","0","5.3","8.8","23.7","31","0.1715"
"FLOCKUSDT","-0.9","-10.3","-13.1","40.4","31","0.0288"
"SKYUSDT","0.5","-9.7","8.7","31.4","31","0.05726"
"AVNTUSDT","0.5","-9.2","-8.6","19.6","31","0.0847"
"HOLOUSDT","1.7","7.9","0.6","27.3","31","0.07129"
"XPINUSDT","0.1","-1.1","14.2","80.7","31","0.001468"
"UBUSDT","0.9","18.9","10.5","139.7","31","0.13613"
"ZKCUSDT","-1.6","-9.6","-11.4","31.9","31","0.03861"
"TOSHIUSDT","-0.4","-5.6","-8","30.5","31","0.0001042"
"STBLUSDT","0.8","-8.9","-13","29.1","31","0.02251"
"0GUSDT","-3.4","-13.6","-25.9","25.3","31","0.158"
"BARDUSDT","-0.3","-9.3","-14.2","26.6","31","0.1138"
"ASTERUSDT","0","-0.2","-0.8","7","31","0.6211"
"TRADOORUSDT","1.1","3.4","24.4","59.7","31","0.5115"
"BLESSUSDT","0.4","-3.3","-4.2","84.8","31","0.00796"
"FLUIDUSDT","-1","6.3","25.4","58.9","31","1.102"
"COAIUSDT","-5.4","6.8","21.4","54.8","31","0.342"
"HANAUSDT","-0.2","-10.4","-22.5","71.7","31","0.02956"
"MIRAUSDT","-2","-17","-4.5","50.8","31","0.04021"
"AKEUSDT","3.2","147.1","1035.5","3890.7","31","0.0042161"
"ORDERUSDT","-0.6","-9.6","-15.1","28.9","31","0.02881"
"LIGHTUSDT","-2.5","-9","2.5","58.6","31","0.1217"
"XANUSDT","-0.7","0.9","18.7","67.3","31","0.011055"
"FFUSDT","-0.2","8.2","-0.9","42.4","31","0.06517"
"EDENUSDT","-1.3","-10.1","-16.2","19.6","31","0.03889"
"NOMUSDT","0.2","-5.9","6.8","90.3","31","0.001464"
"TRUTHUSDT","1.8","5.4","-14.7","36.5","31","0.013723"
"2ZUSDT","-0.3","-8","-5.7","26.8","31","0.05872"
"EVAAUSDT","1.9","-4.9","-4.6","542.4","31","0.8171"
"LYNUSDT","-0.7","-18.2","-5.4","44.9","31","0.03395"
"KGENUSDT","0.5","5","-9.9","41.4","31","0.1797"
"4USDT","-0.9","7.6","-0.6","63.7","31","0.009003"
"GIGGLEUSDT","0.1","-2.2","4.7","36.2","31","26.1"
"MONUSDT","-1.5","-8.6","10.7","45.5","31","0.02093"
"YBUSDT","-0.3","-12.9","-4.5","50.4","31","0.06543"
"METUSDT","-0.1","5","0.8","42.3","31","0.169"
"EULUSDT","3.4","63.6","50.6","185.6","31","1.6055"
"ENSOUSDT","-1.1","10.9","29.8","45.7","31","0.8343"
"CLOUSDT","-0.1","15.5","-9.1","130.3","31","0.12043"
"RECALLUSDT","1.2","3.9","28.5","45.1","31","0.04003"
"ZBTUSDT","0.1","11.4","6","61.2","31","0.11404"
"LABUSDT","0.6","-9.1","-99","586.8","31","0.1414"
"RIVERUSDT","-0.6","-19.6","-28.7","20.3","31","2.663"
"BLUAIUSDT","-1.7","-0.2","-7.1","74.8","31","0.012518"
"TURTLEUSDT","0","8.4","16","34.9","31","0.039"
"APRUSDT","1","-5.4","-3.8","51.5","31","0.1973"
"ONUSDT","-7.6","88.9","286","397.1","31","0.32263"
"KITEUSDT","1","-16.9","-14.8","40.6","31","0.09996"
"ATUSDT","-0.7","-4.4","-4.7","21.2","31","0.1363"
"CCUSDT","1","-1.6","-17.2","20.7","31","0.12033"
"MMTUSDT","-0.8","7.2","8.9","52.5","31","0.1868"
"TRUSTUSDT","-0.7","-2.3","-4.9","20.1","31","0.04875"
"UAIUSDT","-0.6","-21.8","1.2","48.1","31","0.3044"
"FOLKSUSDT","-0.3","-8.1","-15.4","28.7","31","1.845"
"STABLEUSDT","-1","-1.3","-5.7","28.7","31","0.0359"
"JCTUSDT","0.3","-4.4","-14","54.8","31","0.003998"
"ALLOUSDT","0","-36.7","13.1","146.3","31","0.31881"
"CLANKERUSDT","-0.7","-9.1","-18","26.9","31","12.43"
"BEATUSDT","1.2","30.2","23.7","129.8","31","3.424"
"PIEVERSEUSDT","0","-0.8","-13.3","59.9","31","0.6636"
"SENTUSDT","-0.8","-15.1","-10.8","51.7","31","0.01188"
"IRYSUSDT","2.5","12.4","-4.1","31.3","31","0.01419"
"POWERUSDT","-0.3","0.2","4.3","83","31","0.08367"
"WETUSDT","0.6","-4.1","9.3","25.4","31","0.06706"
"NIGHTUSDT","-0.3","-18.1","-43.7","81.5","31","0.01808"
"USUSDT","-2.2","-4.5","258.2","498.9","31","0.042827"
"CYSUSDT","-0.4","-0.5","-9.7","27.2","31","0.3017"
"RAVEUSDT","-1.6","-6.3","-29.8","71.1","31","0.2782"
"ZKPUSDT","-1.4","-8.9","-5.1","48.4","31","0.04396"
"GUAUSDT","-0.2","-8","-74.2","208.2","31","0.05089"
"LITUSDT","-0.4","-0.5","23.1","64.8","31","2.2928"
"BREVUSDT","-0.6","-8.7","-5.5","67","31","0.06889"
"COLLECTUSDT","-2.1","6.7","19.5","53.3","31","0.05321"
"MAGMAUSDT","-0.1","6.5","-31.5","128","31","0.30886"
"ZAMAUSDT","2.1","30.1","92.6","122.9","31","0.06185"
"FOGOUSDT","0.4","-9.8","-10.4","19.2","31","0.00829"
"FRAXUSDT","0.6","-5.4","8.2","29.5","31","0.2559"
"SPORTFUNUSDT","-1","-10.6","-15.9","42.9","31","0.02008"
"AIAUSDT","-5.1","-2.4","20.8","58.6","31","0.06274"
"ACUUSDT","0.7","-0.4","-9.8","18.7","31","0.07394"
"ELSAUSDT","-0.5","-4.1","11.7","50.2","31","0.04721"
"SKRUSDT","1","-11.1","-11.9","24.3","31","0.007433"
"SPACEUSDT","-1.7","-5.4","-2.2","22.2","31","0.006048"
"FIGHTUSDT","-0.8","-10.1","-12.7","30.7","31","0.003121"
"BIRBUSDT","0.2","0.5","-0.3","108","31","0.05847"
"GWEIUSDT","1.5","-13.6","-87.9","74.2","31","0.02015"
"MEGAUSDT","-0.6","-9.8","-18.2","28.9","31","0.03938"
"INXUSDT","3.4","1.8","-10.3","36.8","31","0.007669"
"TRIAUSDT","0.1","-6","-53.5","106.6","31","0.008216"
"ESPUSDT","-3.7","-9.5","-5","93.6","31","0.06617"
"AZTECUSDT","-0.6","0.6","8.1","26","31","0.0141"
"OPNUSDT","-0.7","-30.2","-21.8","35.6","31","0.04888"
"ROBOUSDT","0.2","-9","-34.3","20.2","31","0.01109"
"KATUSDT","-1","-6.1","-8","40.1","31","0.004508"
"MANTRAUSDT","-1.2","-10.3","-12.7","39.8","31","0.0058"
"CFGUSDT","-1.9","-0.4","-11","19.2","31","0.1831"
"EDGEUSDT","-0.6","-0.2","37.6","141.9","31","0.3946"
"BSBUSDT","0.1","-15.2","-49.2","55.1","31","0.11923"
"XAUTUSDT","-0.3","-2.9","-0.1","6.3","31","4006.2"
"BASEDUSDT","0.5","-5.4","-2","85.1","31","0.07973"
"PRLUSDT","-1.6","4.7","9.4","70.2","31","0.179"
"GENIUSUSDT","-1.5","-2.9","-12.5","24.3","31","0.3449"
"CHIPUSDT","0.4","-18","-22.1","33.5","31","0.02529"
"OPGUSDT","-0.8","-10.8","-26.2","62","31","0.0957"
"AIGENSYNUSDT","-1.2","-10.6","-26.1","82","31","0.02269"
"BILLUSDT","-0.4","-4.9","-57.2","91.3","31","0.02364"
"PHAROSUSDT","-2.3","14.5","-8","52.6","31","0.4174"
"STARUSDT","-0.3","-37.1","-31.8","109.6","31","0.08888"
"CTRUSDT","0.4","-12.2","-36.4","27.8","31","0.007297"
"SLXUSDT","-1.1","-16.3","-82.7","55.1","31","0.09321"
"ZESTUSDT","-0.8","8.3","3.2","39.6","31","0.24897"
"BTWUSDT","2.5","38.5","83.9","148.1","31","0.09241"
"REUSDT","-1.9","-6.6","-43.1","90.7","31","0.4435"
"ARXUSDT","-0.8","-10","-45.6","33.3","31","0.1512"
"OUSDT","-0.3","-17.7","-9.5","74.1","31","0.4863"
"CAPUSDT","-5.9","21.3","0.2","84.5","31","0.02575"
"GRAMUSDT","0","-2.9",,"17.9","28","1.448"
"DATAIPUSDT","-1.1","-10.7",,"18.1","27","0.2382"
