"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"AEVOUSDT","CTRL","14","06-28 09:00","864","6.2","12","0.51","0.57","38","-13.3",,"-17.3","18",,"0.005"
"VANRYUSDT","CTRL","80","07-04 11:00","864","28.1","9.6","2.93","4.17","59","-14.4",,"-22.5","20",,"0.005"
"BOMEUSDT","CTRL","8.6","06-26 02:00","862","9.7","13","0.75","1.36","36",,,"-18.7","19",,"0.0024"
"ETHFIUSDT","CTRL","21.1","07-03 19:00","859","19.2","19.5","0.98","1.07","84","7",,"-7.1","29",,"0.0048"
"ENAUSDT","CTRL","11.6","06-16 17:00","845","15",,,,"47",,,"-6.9","25",,"0.0035"
"WUSDT","CTRL","17.4","06-20 08:00","843","10.3",,,,"33",,,"-9.8","22",,"0.005"
"TNSRUSDT","CTRL","83.6","06-20 08:00","838","6.2",,,,"37",,,"-15.5","24",,"0.005"
"SAGAUSDT","CTRL","24.4","06-20 18:00","838","6.3",,,,"77",,,"-9.1","26",,"0.005"
"TAOUSDT","CTRL","8.9","07-01 13:00","835","7.6","10.2","0.74","0.85","9","-22.4",,"-32.5","21",,"0.0005"
"REZUSDT","CTRL","17.5","06-25 13:00","816","14.5","10","1.46","0.66","28",,,"-16.5","21",,"0.005"
"BBUSDT","CTRL","9.1","06-25 13:00","804","13","9.3","1.4","1.24","22",,,"-21.5","17",,"0.0049"
"NOTUSDT","CTRL","10.8","07-03 11:00","800","6.3","12.2","0.51","0.8","94","-0.5",,"-21.4","29",,"0.0048"
"TURBOUSDT","CTRL","16.8","06-28 06:00","786","7.3","5.3","1.39","0.9","72",,,"-15.4","21",,"0.0041"
"IOUSDT","CTRL","14.2","06-20 11:00","774","16.2",,,,"66",,,"-7.9","26",,"0.0035"
"ZKUSDT","CTRL","8.7","07-01 12:00","769","8.5","14.2","0.6","0.82","27","-14.4",,"-21.8","21",,"0.005"
"MEWUSDT","CTRL","13.4","06-26 02:00","768","11.1","10.9","1.02","1.07","52",,,"-21.4","21",,"0.005"
"LISTAUSDT","CTRL","15.1","07-21 15:00","766","8.4","9.7","0.87","0.97","68","-3.4","-11.8","-17.6","25","-3.1","0.005"
"ZROUSDT","CTRL","13.5","07-05 20:00","765","7.1","10.8","0.66","0.68","56","-0.8",,"-25","26","0.9","0.005"
"RENDERUSDT","CTRL","10.3","06-26 02:00","730","11.8","9.5","1.25","1.14","29",,,"-20","20",,"0.0027"
"BANANAUSDT","CTRL","24.8","07-06 14:00","710","9.6","12.2","0.78","0.67","20","4",,"-9.1","21","-5","0.005"
"RAREUSDT","CTRL","32.8","06-19 09:00","709","9.1",,,,"11",,,"-9.6","20",,"0.0015"
"GUSDT","CTRL","42","06-25 01:00","710","37","5","7.41","60.55","50",,,"-13.5","25",,"-0.0147"
"SYNUSDT","CTRL","127.9","06-17 14:00","709","34",,,,"92",,,"-1.9","27",,"-0.1473"
"BRETTUSDT","CTRL","13.1","06-16 16:00","705","9.3",,,,"24",,,"-6.5","22",,"-0.0062"
"POPCATUSDT","CTRL","24.8","06-23 00:00","702","16.9",,,,"5",,,"-13.8","21",,"0.0043"
"SUNUSDT","CTRL","6.4","07-05 03:00","702","3.1","2","1.57","0.65","67","-2.1",,"-3.8","24",,"0.0036"
"DOGSUSDT","CTRL","27.7","07-03 09:00","699","8.8","12.3","0.71","0.67","77","0.4",,"-19.3","25",,"0.005"
"FLUXUSDT","CTRL","7.7","07-03 15:00","691","7.7","9.6","0.8","1.18","76","-7.7",,"-17.9","25",,"0.0045"
"RPLUSDT","CTRL","47.5","07-04 00:00","685","56.6","36.7","1.54","4.51","23","23.7",,"-27.8","21",,"-0.1188"
"POLUSDT","CTRL","7.1","06-25 13:00","681","10.6","5.6","1.88","1.03","11",,,"-14.4","20",,"0.0002"
"1MBABYDOGEUSDT","CTRL","16.1","07-10 21:00","678","3.4","7.2","0.48","0.68","64","0.6",,"-17.1","24","4.5","0.0031"
"NEIROUSDT","CTRL","10.8","06-25 13:00","678","12","9.3","1.3","0.81","43",,,"-18.2","22",,"-0.001"
"FIDAUSDT","CTRL","14","06-22 00:00","675","6.3",,,,"2",,,"-19.9","19",,"-0.1964"
"CATIUSDT","CTRL","13.4","06-19 19:00","674","3.3",,,,"1",,,"-3.3","21",,"0.005"
"HMSTRUSDT","CTRL","101.8","07-03 11:00","668","9.7","28.7","0.34","0.56","84","25.5",,"-9.6","25",,"0.0027"
"EIGENUSDT","CTRL","24.8","06-19 10:00","663","19",,,,"52",,,"-7.7","24",,"0.0005"
"DIAUSDT","CTRL","13.8","07-24 22:00","662","5.4","5.1","1.07","1.08","13","-9","-7.9","-24.7","18","-1.1","0.005"
"1000CATUSDT","CTRL","19.6","07-25 00:00","643","4.7","4.6","1.02","0.64","17","-4.9","-1.9","-21.9","19","-2.7","-0.0001"
"SCRUSDT","CTRL","11","07-01 03:00","642","9.3","14.6","0.63","0.52","34","-20",,"-23.8","26",,"0.0007"
"GOATUSDT","CTRL","13.9","06-26 02:00","639","13.8","10.2","1.35","1.28","40",,,"-17.7","22",,"0.005"
"MOODENGUSDT","CTRL","12.5","06-25 18:00","639","15","11.6","1.28","1.5","58",,,"-15.1","22",,"0.0039"
"SAFEUSDT","CTRL","18.4","06-25 03:00","639","13","6.7","1.94","0.89","22",,,"-22.2","19",,"0.005"
"SANTOSUSDT","CTRL","15.3","07-13 23:00","635","8.8","6.9","1.29","0.95","6","-10.4",,"-27","18","0.7","0.0047"
"COWUSDT","CTRL","7.1","07-14 03:00","626","5.4","8.4","0.64","0.58","28","-5.4",,"-19.8","22","-2.8","-0.0006"
"CETUSUSDT","CTRL","7.5","06-28 22:00","626","4.8","5.6","0.86","0.71","8","-13.2",,"-17.9","19",,"0.0034"
"1000000MOGUSDT","CTRL","8.8","07-02 13:00","626","8","9.5","0.85","0.93","96","-6.3",,"-13.4","26",,"0.0031"
"GRASSUSDT","CTRL","18.5","06-26 12:00","624","23.3","33.2","0.7","2.11","37",,,"-14.7","20",,"0.005"
"DRIFTUSDT","CTRL","35.2","06-20 21:00","624","8",,,,"52",,,"-13.9","20",,"0.005"
"ACTUSDT","CTRL","81.2","06-27 12:00","622","12.8","35.9","0.36","0.29","99",,,"-31.3","20",,"0.005"
"PNUTUSDT","CTRL","9.5","06-26 02:00","622","16.4","10.1","1.62","1.64","22",,,"-16.5","18",,"0.0009"
"BANUSDT","CTRL","13.7","06-21 11:00","615","5.1",,,,"14",,,"-16.7","26",,"0.005"
"AKTUSDT","CTRL","8.4","07-02 18:00","615","6.4","15.7","0.41","0.91","57","-17",,"-32.7","22",,"0.005"
"SCRTUSDT","CTRL","21.9","06-25 13:00","612","19.1","8.2","2.34","1.54","30",,,"-23.3","23",,"0.005"
"1000CHEEMSUSDT","CTRL","9.5","06-25 16:00","608","12.1","11.1","1.08","0.95","37",,,"-22.8","21",,"0.005"
"THEUSDT","CTRL","50.2","07-02 15:00","606","52.9","27.7","1.91","6.83","22","-19.5",,"-30.5","22",,"0.0064"
"MORPHOUSDT","CTRL","14.6","07-01 05:00","605","9.2","18.4","0.5","1.1","94","-1.3",,"-6.2","28",,"0.0019"
"KAIAUSDT","CTRL","8.3","06-25 13:00","598","17.7","8.8","2","2.38","30",,,"-14.2","19",,"-0.0046"
"AEROUSDT","CTRL","16.9","06-19 22:00","598","17.7",,,,"76",,,"-8.5","23",,"0.005"
"ACXUSDT","CTRL","14.4","06-26 02:00","596","4.5","6.4","0.7","0.92","14",,,"-12.8","19",,"0.0043"
"ORCAUSDT","CTRL","10.1","06-25 19:00","596","11","11.6","0.95","0.46","24",,,"-15.7","20",,"-0.0091"
"MOVEUSDT","CTRL","10.6","06-24 17:00","593","13.5","11.8","1.14","0.61","12",,,"-19.3","17",,"-0.0152"
"RAYSOLUSDT","CTRL","20.9","07-01 10:00","593","11.1","9.5","1.17","0.82","58","1.5",,"-7.1","23",,"0.0033"
"KOMAUSDT","CTRL","25.9","06-16 11:00","593","29.7",,,,"44",,,"-12.7","27",,"0.0352"
"VIRTUALUSDT","CTRL","18.5","07-10 00:00","593","4.1","10.9","0.38","0.75","64","1.5",,"-21.3","23","0.6","-0.0086"
"SPXUSDT","CTRL","17.9","06-16 16:00","592","24.5",,,,"80",,,"-4","24",,"-0.0173"
"MEUSDT","CTRL","16.6","07-01 05:00","592","8.9","16.9","0.53","0.72","67","-9.9",,"-15.3","20",,"-0.0206"
"AVAUSDT","CTRL","9.7","06-30 22:00","589","5.9","9.8","0.6","0.88","12","-18.8",,"-23.7","21",,"0.005"
"VELODROMEUSDT","CTRL","19.3","06-22 04:00","589","16",,,,"41",,,"-8.2","21",,"0.005"
"MOCAUSDT","CTRL","13.3","07-09 02:00","587","9.7","7.6","1.28","0.92","17","0.5",,"-17.2","16","3.6","0.005"
"VANAUSDT","CTRL","8.8","06-28 12:00","586","8.4","5.7","1.48","0.95","38","-3.3",,"-12","22",,"0.0044"
"PENGUUSDT","CTRL","11.6","06-26 02:00","585","14.1","14","1","1.18","30",,,"-22.9","23",,"-0.01"
"LUMIAUSDT","CTRL","32.8","07-16 08:00","585","13.9","22.1","0.63","1.57","42","-37.6","-17.9","-50","24","-5.4","-0.0016"
"USUALUSDT","CTRL","10.4","06-28 09:00","584","6.1","8.2","0.74","0.69","54","-13.7",,"-17.1","16",,"0.0017"
"AIXBTUSDT","CTRL","8.2","06-18 17:00","582","14.1",,,,"15",,,"-13.8","24",,"0.0049"
"FARTCOINUSDT","CTRL","21.3","07-02 06:00","582","10.9","18.6","0.58","0.93","32","7.6",,"-7.5","23",,"0.0052"
"KMNOUSDT","CTRL","17.3","06-18 17:00","582","11.9",,,,"14",,,"-14.6","22",,"0.005"
"CGPTUSDT","CTRL","12.9","06-25 13:00","582","14.2","6.7","2.13","1.28","45",,,"-21.1","23",,"0.005"
"HIVEUSDT","CTRL","8.2","06-26 02:00","580","8.6","8.9","0.96","0.99","62",,,"-10.4","25",,"-0.0029"
"DEXEUSDT","CTRL","181.2","07-24 07:00","579","272.8","26.1","10.44","2.72","23","-94.2","-90.9","-95.8","19","168.4","-0.8282"
"PHAUSDT","CTRL","15.3","07-18 00:00","573","9.3","7.3","1.27","1.03","17","-17","-39.3","-45.2","18","3.4","0.0037"
"GRIFFAINUSDT","CTRL","17.5","06-25 13:00","569","16.1","12.7","1.27","0.7","18",,,"-17.9","22",,"0.005"
"ZEREBROUSDT","CTRL","49.1","06-17 21:00","569","31.7",,,,"99",,,"-0.3","24",,"0.0059"
"BIOUSDT","CTRL","19.4","06-16 15:00","569","11.4",,,,"9",,,"-9.3","22",,"0.0029"
"COOKIEUSDT","CTRL","29.4","06-27 15:00","565","8","7.6","1.05","0.58","60",,,"-18.3","20",,"0.0035"
"ALCHUSDT","CTRL","15.9","06-24 09:00","565","13.8","21.8","0.64","0.46","7",,,"-19.3","16",,"0.0063"
"SWARMSUSDT","CTRL","15.4","06-18 07:00","565","18.3",,,,"60",,,"-6.2","22",,"0.0097"
"SONICUSDT","CTRL","11.3","07-01 06:00","564","12.4","9.7","1.27","0.85","23","-13.7",,"-16.4","20",,"-0.0013"
"SUSDT","CTRL","36.6","06-27 15:00","556","6.5","20.8","0.31","0.48","77",,,"-40.4","18",,"-0.0031"
"SOLVUSDT","CTRL","21","07-18 13:00","555","5.2","6","0.86","0.68","20","-16","-22.3","-28.4","24","0.7","0.005"
"ARCUSDT","CTRL","17.2","06-17 01:00","554","14.7",,,,"16",,,"-13.6","20",,"0.0037"
"TRUMPUSDT","CTRL","10.1","07-17 12:00","553","5.7","3.9","1.45","1.39","21","-12.7","-18.7","-27","20","-1.9","-0.0005"
"MELANIAUSDT","CTRL","10.2","07-02 19:00","552","8.4","13.4","0.63","0.95","82","-4.3",,"-13.3","24",,"0.005"
"VTHOUSDT","CTRL","6.4","06-25 13:00","550","7.9","5.9","1.34","1.07","49",,,"-13.7","20",,"0.005"
"ANIMEUSDT","CTRL","14.2","06-28 07:00","548","9.2","20.7","0.45","0.41","54",,,"-21","23",,"0.0009"
"PIPPINUSDT","CTRL","26.9","07-02 03:00","548","11.2","20.7","0.54","0.78","67","-3.1",,"-12.6","19",,"0.0177"
"VVVUSDT","CTRL","20.6","06-24 17:00","543","26.9","15.1","1.78","0.86","0",,,"-28.6","12",,"-0.0247"
"BERAUSDT","CTRL","12.1","07-01 09:00","534","10.3","14","0.74","0.69","24","-20.5",,"-26.7","21",,"0.0046"
"TSTUSDT","CTRL","17.5","06-16 20:00","531","47.2",,,,"16",,,"-30.9","14",,"0.005"
"LAYERUSDT","CTRL","31.6","06-21 11:00","529","5.4",,,,"79",,,"-9.2","21",,"0.0022"
"HEIUSDT","CTRL","71.3","06-23 00:00","528","27.6",,,,"4",,,"-45","20",,"0.0009"
"GPSUSDT","CTRL","20.9","07-01 19:00","523","4.8","5.5","0.88","0.74","31","-1.5",,"-12.2","25",,"0.005"
"SHELLUSDT","CTRL","12.5","06-30 23:00","523","6.5","13.2","0.49","1.02","16","-19.9",,"-24.7","25",,"0.0019"
"REDUSDT","CTRL","16.7","07-01 07:00","506","8.2","24.9","0.33","0.7","28","-9.5",,"-26.4","17",,"0.005"
"VICUSDT","CTRL","18.8","07-01 01:00","500","13.5","23.7","0.57","0.35","2","-3.8",,"-20.4","21",,"-0.0076"
"BMTUSDT","CTRL","11","06-30 23:00","495","9.2","11","0.84","1.05","13","-14.1",,"-18.8","19",,"0.0014"
"MUBARAKUSDT","CTRL","14.1","07-16 08:00","495","8","7.3","1.1","0.74","9","10.5","8.7","-13.9","17","-12.3","0.0044"
"FORMUSDT","CTRL","10.2","07-19 11:00","494","8.9","6.6","1.34","1.33","54","-18.4","-20.7","-29.1","28","-0.5","0.0047"
"TUTUSDT","CTRL","21.1","07-10 14:00","493","17.1","6.1","2.8","1.41","84","-2.4",,"-6.3","24","8.9","0.005"
"BROCCOLI714USDT","CTRL","14.6","06-20 12:00","492","9",,,,"26",,,"-13.7","25",,"0.005"
"BROCCOLIF3BUSDT","CTRL","57","06-30 23:00","492","13.2","9.8","1.35","0.35","6","-8.7",,"-18.1","20",,"0.0278"
"SIRENUSDT","CTRL","23","07-19 21:00","491","15.6","15.5","1","1","18","-25.4","-36.3","-68.9","19","4.8","0.0351"
"BANANAS31USDT","CTRL","19.3","07-08 20:00","491","22.4","11.3","1.98","1.06","10","-15.6",,"-35.8","17","-4","0.005"
"BRUSDT","CTRL","23.5","06-22 14:00","491","13.9",,,,"25",,,"-36.6","24",,"0.0081"
"PLUMEUSDT","CTRL","11","07-20 13:00","491","7.6","9","0.84","0.54","57","-2.3","-4.1","-15.1","19","-1.4","0.0046"
"NILUSDT","CTRL","15.1","07-03 05:00","488","10.9","16.6","0.66","1.17","76","-13",,"-23.6","22",,"0.005"
"PARTIUSDT","CTRL","13.6","06-24 20:00","487","33.5","16.6","2.02","1.36","2",,,"-26.9","20",,"0.005"
"JELLYJELLYUSDT","CTRL","12.7","06-16 13:00","486","60.4",,,,"2",,,"-36.8","24",,"0.0149"
"MAVIAUSDT","CTRL","17.1","06-24 17:00","486","16.2","7.6","2.13","2.15","90",,,"-6.5","23",,"0.005"
"PAXGUSDT","CTRL","3.2","07-02 01:00","486","4.3","6","0.71","1.94","63","-6.1",,"-7.4","22",,"0.0025"
"WALUSDT","CTRL","15.5","06-18 01:00","485","7.4",,,,"37",,,"-12.2","24",,"0.005"
"GUNUSDT","CTRL","19.4","07-03 10:00","481","17.8","16.9","1.05","1.14","32","-30.1",,"-40.6","22",,"0.005"
"ATHUSDT","CTRL","10.4","07-18 16:00","479","6.5","8.6","0.76","3.9","34","-6","-4.7","-16.6","22","8.7","0.005"
"BABYUSDT","CTRL","13.1","06-25 13:00","476","12.6","19.1","0.66","0.52","63",,,"-35.3","24",,"0.0026"
"PROMPTUSDT","CTRL","20.7","07-09 03:00","471","13.3","9.9","1.34","1.13","14","-9.5",,"-22.3","19","0.9","0.005"
"STOUSDT","CTRL","17.2","06-20 17:00","469","4",,,,"60",,,"-8","23",,"0.0048"
"FHEUSDT","CTRL","21.4","07-11 15:00","469","10.4","11.7","0.89","0.98","71","-10.1",,"-37.5","22","2.9","0.0126"
"KERNELUSDT","CTRL","13.2","07-20 06:00","468","10.1","7.7","1.3","1.65","3","-19.1","-33.9","-45.4","16","14.9","0.0024"
"WCTUSDT","CTRL","20.3","06-18 18:00","467","15.7",,,,"12",,,"-13.8","23",,"0.0049"
"INITUSDT","CTRL","11.1","06-21 10:00","466","8.9",,,,"15",,,"-12.5","23",,"0.005"
"DEEPUSDT","CTRL","19.3","07-01 12:00","460","13.3","12.4","1.07","0.72","31","-12.6",,"-18.2","20",,"0.005"
"HYPERUSDT","CTRL","12.6","06-26 02:00","459","16.2","12.4","1.31","1.88","29",,,"-14","19",,"0.0026"
"JSTUSDT","CTRL","9","06-19 10:00","454","10.2",,,,"1",,,"-9.2","25",,"0.0029"
"SIGNUSDT","CTRL","10.6","06-16 18:00","454","6.1",,,,"54",,,"-2.7","23",,"-0.0013"
"PUNDIXUSDT","CTRL","56.6","06-26 02:00","452","31.1","9.9","3.13","6.41","13",,,"-27.5","23",,"0.0008"
"CTKUSDT","CTRL","9.1","07-01 11:00","452","10","10.6","0.94","0.96","15","-20.4",,"-24.3","14",,"0.005"
"AIOTUSDT","CTRL","36.3","07-13 02:00","452","50","8","6.27","2.07","2","-28.8",,"-63.6","14","17.5","0.0139"
"DOLOUSDT","CTRL","17","06-20 01:00","451","10.1",,,,"55",,,"-4.2","21",,"0.0008"
"HAEDALUSDT","CTRL","15.8","07-01 12:00","451","8.1","11.2","0.72","1","26","-17.1",,"-23.1","25",,"0.0004"
"SXTUSDT","CTRL","41.9","07-10 18:00","450","7.5","18.7","0.4","0.7","36","-2.9",,"-17.6","20","-3.5","0.0017"
"ASRUSDT","CTRL","18.1","06-18 06:00","446","14.6",,,,"31",,,"-8.8","26",,"0.005"
"ALPINEUSDT","CTRL","19.9","07-14 07:00","446","7","5.6","1.25","0.89","42","-2.2",,"-18.7","19","2.2","0.0036"
"B2USDT","CTRL","53.3","07-24 05:00","445","79","13.9","5.67","48.54","12","-38.8","-38.7","-43.8","18","42.8","0.0085"
"SYRUPUSDT","CTRL","34","06-26 12:00","445","14.4","11","1.31","2.16","3",,,"-22.3","20",,"0.0041"
"DOODUSDT","CTRL","13.1","07-19 19:00","442","12.9","7.3","1.77","6.57","6","-8.6","-4.4","-17.9","16","4.5","-0.0059"
"OGUSDT","CTRL","9.2","07-05 11:00","440","3.9","5.9","0.66","1.25","54","-5.5",,"-11.5","19",,"0.0043"
"SKYAIUSDT","CTRL","68.2","07-08 03:00","439","77.8","38.8","2","0.9","1","-90.2",,"-93.3","23","-3","0.005"
"NXPCUSDT","CTRL","7.5","07-20 12:00","437","8.7","7.1","1.22","1.59","24","-10.4","-24.2","-34.7","20","5.2","0.0021"
"CVCUSDT","CTRL","9.9","06-26 05:00","436","10.8","12.4","0.87","1.04","22",,,"-19.5","20",,"0.0046"
"AGTUSDT","CTRL","113","06-16 19:00","432","19",,,,"3",,,"-20.7","19",,"0.0075"
"AWEUSDT","CTRL","17.8","06-25 02:00","431","11.3","9.1","1.24","3.31","45",,,"-5.6","23",,"0.0028"
"BUSDT","CTRL","64.9","07-18 08:00","429","8.6","78.3","0.11","0.04","54","-47.4","-49.3","-59.4","25","-2.4","0.005"
"SOONUSDT","CTRL","10.6","06-20 11:00","429","6.7",,,,"58",,,"-11.6","21",,"0.0051"
"HUMAUSDT","CTRL","20.7","06-25 04:00","425","12.1","7.4","1.63","1.01","46",,,"-15.1","21",,"0.005"
"AUSDT","CTRL","12.1","07-04 07:00","424","7.7","9.1","0.85","0.85","63","1",,"-12.9","24",,"0.0046"
"SOPHUSDT","CTRL","7.3","06-23 09:00","423","9.7","5.8","1.67","0.74","18",,,"-11.5","21",,"0.005"
"MERLUSDT","CTRL","17.5","06-25 20:00","423","33.4","13.1","2.55","2.04","11",,,"-34","20",,"0.0049"
"HYPEUSDT","CTRL","11.1","06-28 21:00","422","5.5","6.2","0.88","0.5","14","-1.7",,"-19.6","24",,"-0.0008"
"1000000BOBUSDT","CTRL","31.5","06-21 13:00","416","4.2",,,,"4",,,"-11.9","17",,"-0.0003"
"LAUSDT","CTRL","33.8","07-20 05:00","416","5.5","13.3","0.41","0.67","4","-18.1","-32.2","-38.1","15","-1","0.0006"
"HOMEUSDT","CTRL","40","06-17 09:00","411","24.3",,,,"45",,,"-12","20",,"-0.1951"
"RESOLVUSDT","CTRL","68.2","06-20 16:00","410","10.8",,,,"55",,,"-20.3","24",,"0.0021"
"TAIKOUSDT","CTRL","495.7","06-30 23:00","410","50.7","47.9","1.06","8.03","50","-10",,"-19.8","28",,"-0.225"
"SQDUSDT","CTRL","35.2","06-16 10:00","409","13.5",,,,"36",,,"-7.6","24",,"0.005"
"PUMPBTCUSDT","CTRL","20.9","07-01 09:00","408","11.6","15","0.77","0.71","37","-20.3",,"-24.4","23",,"0.0096"
"SPKUSDT","CTRL","17.4","06-24 17:00","404","14.9","12.5","1.19","0.59","9",,,"-24.7","16",,"0.0043"
"MYXUSDT","CTRL","49.4","06-26 10:00","403","49.3","33","1.49","1.09","17",,,"-58.2","21",,"0.0055"
"FUSDT","CTRL","10.7","07-09 16:00","402","7.6","11.3","0.68","0.72","37","0",,"-21.6","20","1.4","0.005"
"NEWTUSDT","CTRL","9","06-19 04:00","401","10.4",,,,"14",,,"-10.6","23",,"0.005"
"HUSDT","CTRL","48","06-17 19:00","396","157.2",,,,"16",,,"-72.2","23",,"0.005"
"SAHARAUSDT","CTRL","22.2","06-23 09:00","395","17.9","12.1","1.47","0.85","11",,,"-27.4","18",,"-0.0621"
"ICNTUSDT","CTRL","47.8","06-25 13:00","387","25.1","16.3","1.54","1.27","37",,,"-22.8","23",,"0.0043"
"IDOLUSDT","CTRL","86.9","06-24 18:00","387","32","6.9","4.62","1.11","9",,,"-51.9","24",,"0.005"
"PUMPUSDT","CTRL","23.6","07-19 02:00","381","7.2","11.7","0.62","0.54","42","8.1","15","-7.5","25","2","0.0042"
"CROSSUSDT","CTRL","11.4","07-04 09:00","381","7.2","7.3","0.99","0.99","8","-12.1",,"-24.3","19",,"0.005"
"AINUSDT","CTRL","62.9","06-25 04:00","381","12.1","34.3","0.35","0.61","24",,,"-38","20",,"0.005"
"CUSDT","CTRL","12.9","07-14 03:00","376","10","11.1","0.9","0.53","9","-17.5",,"-39.9","19","0.4","0.005"
"VELVETUSDT","CTRL","163.6","06-26 11:00","376","38.2","93.6","0.41","0.22","87",,,"-16.7","26",,"0.0128"
"TACUSDT","CTRL","174.5","06-28 18:00","376","23","12.5","1.83","0.85","34","29.5",,"-17.2","23",,"0.0147"
"ERAUSDT","CTRL","68.7","07-20 05:00","373","11.9","19.4","0.61","1.36","4","-27.1","-31.8","-42.5","16","17.4","-0.0331"
"TAUSDT","CTRL","22.1","07-02 18:00","370","22.3","24.7","0.9","2.04","23","7.2",,"-14.1","25",,"0.0117"
"CVXUSDT","CTRL","13.7","07-13 12:00","368","6.5","4.9","1.33","0.79","22","12.5",,"-14.3","23","-1.9","0.004"
"SLPUSDT","CTRL","24.5","07-02 21:00","368","52.5","12.2","4.32","11.4","16","-2.8",,"-29","26",,"-0.0013"
"ZORAUSDT","CTRL","9.4","07-01 08:00","366","13.3","14","0.95","0.68","18","-20.4",,"-24.4","19",,"-0.0004"
"TAGUSDT","CTRL","98.6","07-08 15:00","366","123.7","13.6","9.09","4.72","14","-45.7",,"-62.8","19","6.9","0.005"
"TREEUSDT","CTRL","34.2","07-20 06:00","361","11.6","10.7","1.08","0.95","8","-18.8","-24.9","-29.6","20","2.9","-0.0245"
"PLAYUSDT","CTRL","27.7","06-16 13:00","360","37.5",,,,"68",,,"-10.6","28",,"0.032"
"NAORISUSDT","CTRL","33.8","06-21 01:00","360","11.4",,,,"39",,,"-15.2","21",,"0.0099"
"TOWNSUSDT","CTRL","18.9","06-29 21:00","354","6.3","10.2","0.62","0.52","65","-18.7",,"-22.1","23",,"0.005"
"PROVEUSDT","CTRL","9.6","07-20 06:00","354","4.9","5","0.99","0.66","11","-3.7","-11.5","-14.7","19","2.1","0.0026"
"ALLUSDT","CTRL","6","06-25 13:00","354","8.5","4.8","1.75","1.05","58",,,"-9.3","24",,"0.0047"
"INUSDT","CTRL","96.9","06-29 15:00","353","28.3","22.5","1.26","1.75","91","66.3",,"-2","25",,"0.0277"
"CARVUSDT","CTRL","28.7","06-25 20:00","352","33.8","11.8","2.86","9.68","28",,,"-27.2","26",,"0.005"
"AIOUSDT","CTRL","23.7","07-10 05:00","347","9.3","12","0.78","0.61","90","-18.7",,"-32.2","26","0.4","0.005"
"XNYUSDT","CTRL","34.5","06-29 23:00","347","10.1","14.3","0.71","0.84","16","-13.5",,"-18.4","21",,"0.0164"
"USELESSUSDT","CTRL","20.1","06-25 13:00","345","15.4","16.8","0.91","0.62","69",,,"-14.2","24",,"0.005"
"SAPIENUSDT","CTRL","12","06-19 17:00","339","8.2",,,,"56",,,"-10.9","23",,"0.005"
"XPLUSDT","CTRL","31.1","06-16 15:00","338","17.4",,,,"55",,,"-6.8","25",,"0.005"
"WLFIUSDT","CTRL","14.1","07-22 11:00","337","2.8","3.9","0.7","1.08","36","-2.1","-4.6","-11.3","21","2.2","0.005"
"SOMIUSDT","CTRL","18.5","07-06 05:00","335","5.1","9.8","0.52","0.55","6","-4.9",,"-12.6","21","2.4","0.005"
"BASUSDT","CTRL","50.1","07-03 16:00","333","107.9","52.9","2.04","0.83","22","-6",,"-54.5","23",,"-0.023"
"BTRUSDT","CTRL","50.2","06-20 04:00","333","10.8",,,,"7",,,"-17.5","20",,"0.005"
"MITOUSDT","CTRL","41.7","06-16 18:00","331","18.5",,,,"81",,,"-15.2","26",,"0.005"
"HEMIUSDT","CTRL","73.6","07-19 20:00","331","12.6","8.3","1.52","1.34","47","-2.4","-15.8","-29.6","28","3.2","0.005"
"LINEAUSDT","CTRL","7.9","07-13 01:00","328","5.7","6.4","0.89","0.65","16","3.9",,"-12.4","20","-3.8","0.0025"
"QUSDT","CTRL","25.5","07-25 00:00","327","6.2","8.6","0.72","0.66","44","-2.4","13.3","-15.8","27","0.4","0.005"
"ARIAUSDT","CTRL","42","07-18 13:00","326","9.9","7.4","1.34","0.87","26","-19","-24.2","-31.8","19","0.7","0.005"
"TAKEUSDT","CTRL","20.9","07-03 13:00","326","12.2","12.9","0.95","1.93","64","-1.6",,"-13.5","26",,"0.005"
"PTBUSDT","CTRL","37.3","07-01 03:00","326","8.8","13","0.67","1.01","46","-10",,"-23.5","27",,"0.0188"
"OPENUSDT","CTRL","9.6","06-18 15:00","320","22.3",,,,"2",,,"-17.8","21",,"0.005"
"FLOCKUSDT","CTRL","30.9","07-15 08:00","320","6.9","11","0.62","1.05","69","-0.5","-22.3","-25.1","25","2.2","0.005"
"SKYUSDT","CTRL","15","07-02 02:00","320","6.4","14.3","0.45","1.17","29","-8.3",,"-12.5","24",,"0.005"
"AVNTUSDT","CTRL","14.1","06-23 06:00","319","10.4",,,,"3",,,"-15.4","17",,"0.0027"
"HOLOUSDT","CTRL","10.7","07-02 07:00","318","7.8","7.4","1.06","0.59","57","-7.3",,"-10.4","23",,"0.005"
"XPINUSDT","CTRL","45","07-10 08:00","317","9.4","9.3","1.01","0.83","84","10.6",,"-2.7","22","2.3","0.0087"
"ZKCUSDT","CTRL","13.8","07-22 07:00","313","10.3","8.7","1.17","1.66","37","-3.1","-15","-36.4","23","-7.8","0.0024"
"TOSHIUSDT","CTRL","23.1","07-17 03:00","312","7.2","6.3","1.15","1.42","10","-7.5","-19.5","-23","24","12.3","0.004"
