"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"KAVAUSDT","CTRL","7.4","06-20 00:00","2189","6.7",,,,"85",,,"-2.3","25",,"0.005"
"BANDUSDT","CTRL","11.8","06-30 15:00","2188","8.1","10.3","0.78","0.98","25","-17.7",,"-21.6","17",,"0.01"
"RLCUSDT","CTRL","9.9","07-09 17:00","2186","5.3","9.3","0.57","0.96","38","1.7",,"-19.7","22","-0.8","-0.0072"
"SNXUSDT","CTRL","20.8","06-26 23:00","2172","15.4","7.3","2.1","1.59","32",,,"-24.4","18",,"-0.0119"
"DOTUSDT","CTRL","7.3","07-20 09:00","2164","5.4","7.6","0.7","0.94","9","-7.1","-17.1","-23.2","12","11.9","-0.0103"
"YFIUSDT","CTRL","45.9","07-05 16:00","2155","5.1","3.7","1.38","0.79","27","-0.6",,"-14.8","18","-1","0.0039"
"CRVUSDT","CTRL","12","06-30 22:00","2154","6.5","7.8","0.83","0.67","23","-23.3",,"-26.1","19",,"0.0038"
"TRBUSDT","CTRL","18.2","07-03 05:00","2152","6.5","12","0.54","0.63","83","0.9",,"-7.7","27",,"0.005"
"RUNEUSDT","CTRL","6.2","06-20 18:00","2151","10.2",,,,"36",,,"-8.8","24",,"0.002"
"SUSHIUSDT","CTRL","11.1","07-18 15:00","2151","6.8","7","0.97","1.28","32","-3.2","-7.6","-21.7","20","-6.7","0.0039"
"EGLDUSDT","CTRL","15.4","07-13 14:00","2141","11.4","6.9","1.65","1.27","82","19.6",,"-3.7","30","15.9","-0.001"
"SOLUSDT","CTRL","10.3","06-25 19:00","2141","10.1","9.5","1.06","1.27","33",,,"-13","23",,"-0.0063"
"ICXUSDT","CTRL","6.1","06-26 02:00","2140","11.7","12.3","0.95","0.93","33",,,"-18.3","23",,"0.005"
"STORJUSDT","CTRL","10.6","06-26 03:00","2139","9.8","9.8","1","1.09","9",,,"-14.7","20",,"0.0036"
"UNIUSDT","CTRL","23.7","06-16 09:00","2137","22.8",,,,"95",,,"-0.9","28",,"0.0042"
"AVAXUSDT","CTRL","11","06-26 02:00","2132","11.6","13.1","0.89","0.98","26",,,"-13.4","22",,"-0.0005"
"ENJUSDT","CTRL","16.4","06-17 07:00","2126","12.3",,,,"51",,,"-5.4","25",,"-0.0188"
"KSMUSDT","CTRL","13.4","07-05 16:00","2111","5.6","5.6","1.01","0.66","19","-8.1",,"-17.2","23","1.1","0.0076"
"NEARUSDT","CTRL","8.7","07-01 11:00","2110","11.3","12.6","0.9","0.91","31","-22",,"-30.5","19",,"0.01"
"AAVEUSDT","CTRL","18.6","06-25 16:00","2109","19.7","10.3","1.91","3.59","79",,,"-3.5","29",,"0.0049"
"FILUSDT","CTRL","7.7","07-01 11:00","2109","6.7","11.3","0.6","0.85","57","-9.4",,"-12.6","23",,"0.0071"
"RSRUSDT","CTRL","11.7","07-08 11:00","2106","12","11.8","1.01","1.33","12","-8.5",,"-20.6","25","4.5","0.0067"
"BELUSDT","CTRL","65.1","06-19 10:00","2076","43.9",,,,"73",,,"-8.2","26",,"-0.0075"
"AXSUSDT","CTRL","27.4","06-20 00:00","2074","8.7",,,,"41",,,"-8.7","24",,"0.0019"
"ZENUSDT","CTRL","8.9","06-19 16:00","2070","11.2",,,,"36",,,"-13.5","26",,"0.0063"
"SKLUSDT","CTRL","66","07-09 12:00","2162","7.4","7.5","0.99","0.74","40","-2.7",,"-25.5","21","-0.6","0.0028"
"GRTUSDT","CTRL","6.6","07-02 23:00","2046","7","11.9","0.59","0.93","71","-7.5",,"-15.8","23",,"0.0026"
"1INCHUSDT","CTRL","13.2","07-20 20:00","2039","3.9","8.1","0.48","0.85","76","1.5","1.4","-6.5","23","-2","0.0016"
"CHZUSDT","CTRL","11","06-29 08:00","2012","6.3","7.1","0.89","0.53","27","-31.3",,"-34.3","20",,"-0.0225"
"SANDUSDT","CTRL","22.8","06-19 18:00","2015","8.1",,,,"24",,,"-9.2","25",,"0.002"
"ANKRUSDT","CTRL","10.4","07-10 12:00","2008","6.1","8.3","0.73","0.69","82","7.2",,"-12.7","23","3.8","0.0036"
"RVNUSDT","CTRL","16.1","07-09 02:00","1979","6.1","7.3","0.84","1.08","33","-3.9",,"-19.3","21","-0.5","0.005"
"SFPUSDT","CTRL","13.4","06-30 05:00","1978","4.6","4.7","0.98","1.61","59","-16.6",,"-19.3","22",,"0.01"
"COTIUSDT","CTRL","7.2","06-26 02:00","1965","10.2","12.7","0.8","1.18","28",,,"-21.7","21",,"0.0039"
"CHRUSDT","CTRL","14.4","06-25 13:00","1962","14.5","9.1","1.6","1.28","76",,,"-15.8","27",,"0.0053"
"MANAUSDT","CTRL","21.6","06-19 18:00","1960","8.1",,,,"36",,,"-5.8","22",,"0.001"
"ALICEUSDT","CTRL","74.3","06-20 02:00","1959","25.7",,,,"63",,,"-7.5","25",,"-0.0208"
"HBARUSDT","CTRL","8","07-21 16:00","1957","5.4","4.9","1.11","1.06","91","-5.2","-14.1","-19.1","26","-2","-0.0021"
"ONEUSDT","CTRL","42.1","07-20 18:00","1957","5.7","9.9","0.58","0.63","48","-11","-21.7","-29.5","20","6.2","0.0082"
"CELRUSDT","CTRL","8.5","06-30 22:00","1945","6.2","12.3","0.5","0.69","26","-17.7",,"-20.7","25",,"0.0023"
"HOTUSDT","CTRL","27.3","06-26 20:00","1944","8.9","7","1.27","1.26","35",,,"-10.4","19",,"-0.0014"
