"symbol","d1","d7","d30","runup","bars","price"
"OPENUSDT","-1.2","4.8","-0.2","22.6","31","0.1625"
"FLOCKUSDT","1","-2.4","-9.4","40.4","31","0.0309"
"SKYUSDT","1.2","-4.4","17.2","32.9","31","0.05845"
"AVNTUSDT","1.5","0.9","-4.3","19.6","31","0.0904"
"HOLOUSDT","1","8.8","0.3","20.8","31","0.06764"
"XPINUSDT","1","-1.6","7.7","80.7","31","0.001495"
"UBUSDT","0.2","38.2","53.6","106.4","31","0.12182"
"ZKCUSDT","-2.9","3","-4.1","31.9","31","0.04235"
"TOSHIUSDT","0.5","-3.5","-1.2","34.2","31","0.0001085"
"STBLUSDT","2.6","13.8","2.6","28.4","31","0.02433"
"0GUSDT","1.5","-2","-19.4","25.3","31","0.1746"
"BARDUSDT","0.6","-0.9","-7.1","26.6","31","0.126"
"ASTERUSDT","-0.5","1.3","-0.3","7","31","0.6285"
"TRADOORUSDT","0.9","4.7","34.5","60.2","31","0.5401"
"BLESSUSDT","8.7","-11.1","-0.7","84.8","31","0.008141"
"FLUIDUSDT","-3.7","12.3","27.9","51.7","31","1.133"
"COAIUSDT","-2.5","3.9","10.2","38.2","31","0.3128"
"HANAUSDT","-3.6","-21.4","-26.6","71.7","31","0.02848"
"MIRAUSDT","-0.5","8.5","1.1","50.8","31","0.04351"
"AKEUSDT","13","54.3","739.7","1916.7","31","0.0030581"
"ORDERUSDT","-5.1","7.1","-3.4","28.9","31","0.03363"
"LIGHTUSDT","16.3","28.1","27.7","47.1","31","0.1513"
"XANUSDT","5.4","-2.4","21","67.3","31","0.011734"
"FFUSDT","-1.5","-0.5","-8.9","42.4","31","0.06015"
"EDENUSDT","0.8","-0.5","-11.2","19.6","31","0.0421"
"NOMUSDT","-2.2","1","7.2","90.3","31","0.001522"
"TRUTHUSDT","1.4","1.2","-13","35.4","31","0.013224"
"2ZUSDT","0.8","-4.6","-5.3","26.8","31","0.06184"
"EVAAUSDT","0","18.5","2","542.4","31","0.932"
"LYNUSDT","-0.1","0.5","9.1","44.9","31","0.03879"
"KGENUSDT","3.8","-3.6","-1.7","34.2","31","0.1787"
"4USDT","0","3.1","-7.8","68.1","31","0.008299"
"GIGGLEUSDT","2.2","-0.3","3.2","36.2","31","26.14"
"MONUSDT","-5.3","-2.3","7.1","45.5","31","0.02072"
"YBUSDT","1.5","-19.7","4.3","50.4","31","0.07323"
"METUSDT","-0.9","11.9","-2.5","38","31","0.1617"
"EULUSDT","78.6","105.9","90.7","122.7","31","1.9429"
"ENSOUSDT","1.8","14.2","33.6","46.6","31","0.8054"
"CLOUSDT","2.3","-14.1","-38.3","156.5","31","0.12878"
"RECALLUSDT","3.9","1.7","33.7","47.1","31","0.03993"
"ZBTUSDT","0.3","18.1","3.1","61.2","31","0.11021"
"LABUSDT","-2.8","3.6","-99.2","586.8","31","0.1561"
"RIVERUSDT","-0.6","-4.4","-18.1","22.4","31","3.071"
"BLUAIUSDT","0.9","4.1","-16.2","74.8","31","0.012377"
"TURTLEUSDT","8.4","17","15.8","25.1","31","0.0396"
"APRUSDT","3.2","-4.4","5.9","51.5","31","0.207"
"ONUSDT","-14.6","10.1","72.8","186.1","31","0.1323"
"KITEUSDT","-4.6","-6","-25.8","40.6","31","0.10317"
"ATUSDT","1.4","-0.6","-7.2","21.2","31","0.1402"
"CCUSDT","4","-3.1","-19","20.7","31","0.12267"
"MMTUSDT","0.2","-2.6","-3.6","52.5","31","0.1738"
"TRUSTUSDT","2","8.4","-0.2","18.6","31","0.05137"
"UAIUSDT","-0.8","-3.8","14.6","57","31","0.3306"
"FOLKSUSDT","-3","-14","-23.5","28.7","31","1.872"
"STABLEUSDT","3.8","11.7","6.9","28.7","31","0.03981"
"JCTUSDT","1.1","-4.5","-0.4","54.8","31","0.00431"
"ALLOUSDT","-24.2","-13.8","15.7","146.3","31","0.38994"
"CLANKERUSDT","1.2","-3.4","-18.1","26.9","31","13.11"
"BEATUSDT","1.5","43","27.5","88.2","31","3.354"
"PIEVERSEUSDT","-2.6","1.8","-2.8","46.4","31","0.6427"
"SENTUSDT","-2.4","-6.9","-4.2","53.6","31","0.01261"
"IRYSUSDT","5.9","5","-12.9","16.3","31","0.01308"
"POWERUSDT","3.3","16","18.2","83","31","0.0916"
"WETUSDT","4.2","-4.7","13.1","31.1","31","0.06789"
"NIGHTUSDT","-2.8","-26.3","-35.7","81.5","31","0.01968"
"USUSDT","-7.9","-2.7","193.9","423.7","31","0.044393"
"CYSUSDT","-0.5","0.7","-5.5","32.6","31","0.3057"
"RAVEUSDT","-1.5","6.3","30.5","159.1","31","0.2972"
"ZKPUSDT","-0.9","0.8","-3.9","48.4","31","0.04653"
"GUAUSDT","5.1","4.1","-77.9","208.2","31","0.05535"
"LITUSDT","2.5","-5.8","14.2","74.7","31","2.0834"
"BREVUSDT","1.4","0.9","-3.1","67","31","0.07407"
"COLLECTUSDT","-5.1","1.5","1.7","49.7","31","0.04627"
"MAGMAUSDT","1.6","3.8","-37.9","128","31","0.31432"
"ZAMAUSDT","3.7","58.5","73.4","116","31","0.05617"
"FOGOUSDT","1.1","-3.3","-24.1","29.3","31","0.00863"
"FRAXUSDT","0.4","5.7","13","29.5","31","0.2749"
"SPORTFUNUSDT","5.4","4.5","2.5","42.9","31","0.02275"
"AIAUSDT","-0.9","24.3","34.9","62.6","31","0.06897"
"ACUUSDT","-1.7","-0.3","-11.4","18.7","31","0.07546"
"ELSAUSDT","-0.1","-1.2","13.2","50.2","31","0.04872"
"SKRUSDT","-1.8","-2","-6.8","29.2","31","0.007947"
"SPACEUSDT","5.3","14.5","11.3","22","31","0.006765"
"FIGHTUSDT","1.7","5.4","-0.1","30.7","31","0.003432"
"BIRBUSDT","0.5","6.7","-4.9","108","31","0.05854"
"GWEIUSDT","-10.9","-19.1","-81.8","111.1","31","0.02321"
"MEGAUSDT","-2.2","-3.3","-8.9","28.9","31","0.0426"
"INXUSDT","0.9","7.6","-15.2","18.1","31","0.007269"
"TRIAUSDT","0.8","4.4","-55","106.6","31","0.008709"
"ESPUSDT","-0.6","6.8","7.6","34.8","31","0.07485"
"AZTECUSDT","7.3","3.8","7.8","26","31","0.01431"
"OPNUSDT","-2.8","-0.1","3.8","36.9","31","0.06108"
"ROBOUSDT","-1.8","-3.2","-30.5","20.2","31","0.01165"
"KATUSDT","-0.2","1.4","-3.7","40.1","31","0.004764"
"MANTRAUSDT","-2","-2.5","-7","39.8","31","0.006152"
"CFGUSDT","0.5","4.5","-19.2","19.2","31","0.1718"
"EDGEUSDT","5.3","1.1","35","141.9","31","0.4103"
"BSBUSDT","-2","-6.9","-59.6","55.1","31","0.12787"
"XAUTUSDT","0","1.5","-0.5","6.3","31","4053.44"
"BASEDUSDT","2.3","-4.9","28.2","116.7","31","0.08588"
"PRLUSDT","0.2","4.8","25.5","40.1","31","0.1813"
"GENIUSUSDT","1.5","15.9","-6","24.3","31","0.367"
"CHIPUSDT","-1.1","-3.7","-0.2","40.4","31","0.02895"
"OPGUSDT","0.8","-2.5","-19.8","62","31","0.1035"
"AIGENSYNUSDT","4.6","7.3","17.6","94.9","31","0.02559"
"BILLUSDT","-6.6","7.2","-34.3","91.3","31","0.02696"
"PHAROSUSDT","-1.4","10.6","-9.5","34.7","31","0.387"
"STARUSDT","2.3","-41.8","-8.9","109.6","31","0.12181"
"CTRUSDT","6.8","0.2","-19.2","27.8","31","0.008205"
"SLXUSDT","-5.3","11.1","-72","95.8","31","0.11716"
"ZESTUSDT","-0.2","16.2","-2.8","39.6","31","0.24658"
"BTWUSDT","19.1","15.2","-17.9","79.9","31","0.07912"
"REUSDT","-6.4","40.7","-0.6","90.7","31","0.5518"
"ARXUSDT","7.1","22.6","-32.5","33.3","31","0.1807"
"OUSDT","0.5","-14.9","11","113.4","31","0.5035"
"CAPUSDT","-24","14.7","","84.5","30","0.02125"
"GRAMUSDT","2.6","4.2","","17.9","25","1.505"
"DATAIPUSDT","-5.8","-3.2","","18.1","24","0.2636"
