"symbol","d1","d7","d30","runup","bars","price"
"GMTUSDT","1.9","1.5","-4","17.8","31","0.007183"
"APEUSDT","0.4","0.2","-2.3","28.2","31","0.1443"
"WOOUSDT","-0.1","0.9","11.3","29","31","0.01255"
"JASMYUSDT","1.2","-5.1","-4","18.3","31","0.004376"
"OPUSDT","-0.1","-2.8","-12.6","20","31","0.0923"
"INJUSDT","-2.4","-0.4","4.4","31.3","31","5.087"
"STGUSDT","-0.4","-3.3","-21.5","24.5","31","0.1336"
"SPELLUSDT","0","-2.7","-18.1","37","31","8.22E-05"
"1000LUNCUSDT","0.7","-4","-15.4","15.1","31","0.05407"
"LUNA2USDT","0.3","-5.9","-13.6","17.2","31","0.04312"
"LDOUSDT","-1.3","4.7","48.7","75.3","31","0.3711"
"ICPUSDT","0.8","0.7","-2.5","17.1","31","2.15"
"APTUSDT","1.8","2.7","2.3","17.6","31","0.6114"
"QNTUSDT","-0.5","-1.3","-6.4","9.3","31","63.3"
"FETUSDT","3.7","1.1","-10.9","18.7","31","0.1583"
"MAGICUSDT","-0.5","2.8","1.1","37.5","31","0.04266"
"TUSDT","-3.8","-9.6","3","96.5","31","0.003534"
"MINAUSDT","0.3","2.1","12.1","44.6","31","0.04422"
"ASTRUSDT","0.3","0.3","0.3","15.5","31","0.005105"
"GMXUSDT","-4.4","1.8","17.3","44.4","31","6.68"
"CFXUSDT","0.9","-4.6","2.8","15.7","31","0.04412"
"STXUSDT","-3.4","-16","-18.9","17.7","31","0.1375"
"ACHUSDT","0.3","-4","-7.8","17.6","31","0.004116"
"SSVUSDT","1.7","4","4.2","13.5","31","2.085"
"CKBUSDT","1.5","-0.8","-3.8","15.7","31","0.000893"
"LQTYUSDT","8.5","12.7","-4.1","21.5","31","0.1797"
"USDCUSDT","0","0","0","0.1","31","1.00036"
"IDUSDT","-1.1","-7","-26.3","32.8","31","0.03072"
"ARBUSDT","-0.9","-7.6","10.7","43.8","31","0.08224"
"JOEUSDT","7.2","7.5","-3.2","15.5","31","0.02879"
"TLMUSDT","-7.6","-23.5","90.7","433.7","31","0.001701"
"HFTUSDT","4.4","10.4","9.6","38.6","31","0.00962"
"XVSUSDT","-2.2","3.7","15.3","27.6","31","2.89"
"BLURUSDT","-3","-4.5","0.6","90.9","31","0.01475"
"EDUUSDT","9.4","17.5","15.6","29.9","31","0.03412"
"SUIUSDT","0.2","-4.9","2.1","18.9","31","0.7129"
"1000PEPEUSDT","1","-3.1","15.1","33.7","31","0.0027468"
"1000FLOKIUSDT","4.8","3.9","-0.8","17.3","31","0.022"
"UMAUSDT","1.2","-1.2","-6.7","17.3","31","0.3585"
"NMRUSDT","-0.2","-9","1.8","28.1","31","8.964"
"MAVUSDT","0.2","1.6","-7.3","30.7","31","0.00886"
"XVGUSDT","-0.3","-1.6","-6.9","21.5","31","0.002142"
"WLDUSDT","-0.7","-4.6","-26.3","26.5","31","0.3443"
"PENDLEUSDT","0.5","-5.8","17","40.2","31","1.4884"
"ARKMUSDT","0.1","-0.9","-10.8","17.4","31","0.1058"
"AGLDUSDT","-0.3","0.9","-30.8","129.9","31","0.1493"
"YGGUSDT","1.5","-7.3","-21.3","21.7","31","0.0178"
"DODOXUSDT","-5.8","-7.3","8.8","96.3","31","0.018625"
"BNTUSDT","0.3","-0.4","2.7","18.4","31","0.2727"
"SEIUSDT","2","-3.8","-15.8","12.2","31","0.04472"
"CYBERUSDT","-0.1","-1.9","-8.6","19.2","31","0.3233"
"ARKUSDT","1","0.3","-3.4","39.6","31","0.1032"
"BICOUSDT","0.4","1.3","-36.4","38.4","31","0.01349"
"BIGTIMEUSDT","0.8","-0.4","-15.4","14","31","0.006502"
"WAXPUSDT","1.3","-1.9","-4.8","19.9","31","0.003926"
"BSVUSDT","0.1","0.4","16.8","45.3","31","13.23"
"RIFUSDT","-22.4","-32.1","27.2","203.6","31","0.08583"
"POLYXUSDT","0.6","-1.5","3.5","22.9","31","0.03578"
"GASUSDT","1.2","-4.2","0.1","33.8","31","1.016"
"POWRUSDT","0","-0.1","2.9","58.2","31","0.04319"
"TIAUSDT","-0.2","-6","-10.9","24.4","31","0.3396"
"CAKEUSDT","0.5","0.2","4.9","15.6","31","1.4021"
"MEMEUSDT","1","-1","0.7","40.7","31","0.0005272"
"TWTUSDT","2","1.1","-4.1","13.2","31","0.338"
"ORDIUSDT","2.1","3.9","13.7","48.9","31","3.612"
"STEEMUSDT","0.7","0.4","-0.6","19.6","31","0.03933"
"ILVUSDT","0.4","-0.9","-1.5","24","31","2.888"
"KASUSDT","1.2","-0.9","-0.1","19.1","31","0.02805"
"BEAMXUSDT","-4.9","6.4","19.8","39.6","31","0.001582"
"1000BONKUSDT","4.9","11","-26.7","31.6","31","0.00309"
"PYTHUSDT","-3.6","-11.7","24.8","68.7","31","0.04282"
"SUPERUSDT","0.6","0","-2.3","14.4","31","0.0841"
"USTCUSDT","2","0.7","-5.6","31.9","31","0.005311"
"ONGUSDT","1.6","-5.7","3.2","41.3","31","0.04525"
"ETHWUSDT","-0.2","-1.9","1","43.7","31","0.2343"
"JTOUSDT","-2.7","4.4","-26.1","27.7","31","0.5923"
"1000SATSUSDT","2","-0.7","3.4","26.9","31","9.37E-06"
"AUCTIONUSDT","0.2","-6.1","-8.2","16.2","31","3.118"
"1000RATSUSDT","0","-6.1","-16.9","34.9","31","0.02608"
"ACEUSDT","-19.5","3.7","15","149.1","31","0.08739"
"MOVRUSDT","1.5","-4","5.5","49.9","31","1.256"
"XAIUSDT","-0.1","1.1","-5.3","15.1","31","0.006865"
"WIFUSDT","6.8","-0.4","-0.6","36.2","31","0.1538"
"MANTAUSDT","1.2","-2.5","-26.6","103.2","31","0.06185"
"ONDOUSDT","-0.4","10.7","20.5","40.3","31","0.382"
"LSKUSDT","-1","-5.2","-8.4","18.5","31","0.0803"
"ALTUSDT","0.6","-2.9","6.5","29.6","31","0.00611"
"JUPUSDT","-1.2","-5.5","-20.5","27.5","31","0.1851"
"ZETAUSDT","-0.2","-3.9","-10.2","23","31","0.03232"
"RONINUSDT","-0.5","-3.9","-9.5","19.6","31","0.05168"
"DYMUSDT","-0.4","0.8","-4.2","32.4","31","0.01469"
"PIXELUSDT","-3.1","5.4","-9.3","32.5","31","0.004572"
"STRKUSDT","3","4.1","3.8","15.8","31","0.0299"
"GLMUSDT","-0.1","0.6","3","33.5","31","0.09952"
"PORTALUSDT","-1.4","-1.8","-29.9","40.1","31","0.01038"
"AXLUSDT","1.2","1.5","-0.2","17","31","0.04067"
"METISUSDT","1.1","-0.7","-5.5","19.4","31","2.679"
"AEVOUSDT","-0.2","3","8.9","25.8","31","0.01894"
"VANRYUSDT","-5.2","-14.3","48.9","282.2","31","0.004571"
"BOMEUSDT","4.9","14.1","10.9","24.6","31","0.0004536"
"ETHFIUSDT","-2.9","-8.2","13.2","56.2","31","0.4085"
"ENAUSDT","-1.4","7.8","8.5","32.6","31","0.0861"
"WUSDT","0.6","-1.1","-14.5","25.7","31","0.00895"
"TNSRUSDT","-4.5","2.6","-16.6","20","31","0.03211"
"SAGAUSDT","-6.3","11.9","3.5","25.6","31","0.01348"
"TAOUSDT","0","-3.4","-10.5","12.2","31","191.77"
"REZUSDT","2.3","8.6","-16.2","17","31","0.002541"
"BBUSDT","-0.2","-0.7","-10.2","14.9","31","0.01754"
"NOTUSDT","2.2","-1.3","-6.2","22.3","31","0.0003582"
"TURBOUSDT","2.8","-2.4","-0.5","24.9","31","0.0008"
"IOUSDT","-0.6","0.5","-22.2","21.6","31","0.1434"
"ZKUSDT","0.5","-1.4","-12.2","20.2","31","0.00917"
"MEWUSDT","4.4","-0.9","-2.6","23.6","31","0.0003554"
"LISTAUSDT","12.6","6.6","2.5","42.3","31","0.0492"
"ZROUSDT","0","9.2","8.2","45.3","31","0.8613"
"RENDERUSDT","0.7","-1","-6.7","12.9","31","1.466"
"BANANAUSDT","-1.1","10.2","35.7","67","31","3.655"
"RAREUSDT","1.8","2.1","2.4","31","31","0.01266"
"GUSDT","-2.3","-6","-2.8","58.2","31","0.003248"
"SYNUSDT","11.7","-23.3","-49.6","180.7","31","0.1651"
"BRETTUSDT","2.2","-11.1","-15","21.8","31","0.004527"
"POPCATUSDT","2.3","0.7","-3.9","33.4","31","0.04315"
"SUNUSDT","-0.2","-0.7","9.4","20.8","31","0.018321"
"DOGSUSDT","3.8","1","-4.6","41.4","31","3.669E-05"
"FLUXUSDT","-0.1","-2.6","-9.6","19.8","31","0.04048"
"RPLUSDT","-0.4","-7.3","23.1","108","31","1.698"
"POLUSDT","-0.3","-5.4","7","26.7","31","0.07675"
"1MBABYDOGEUSDT","3.5","1.9","4.4","26","31","0.0003068"
"NEIROUSDT","4.6","2.3","-2.1","20.7","31","6.036E-05"
"FIDAUSDT","-1.6","-6.4","-11.9","16.9","31","0.0196"
"CATIUSDT","-0.8","-1.6","-36.6","22.4","31","0.03837"
"HMSTRUSDT","-2.5","-1.6","-1.5","181.1","31","0.0001765"
"EIGENUSDT","-1.1","-9.8","-5.9","32.3","31","0.2061"
"DIAUSDT","11.8","10.1","4.1","25.3","31","0.1109"
"1000CATUSDT","19.1","19.9","15.1","24.4","31","0.001514"
"SCRUSDT","2","-3","-23.9","21.9","31","0.02182"
"GOATUSDT","1.9","-2.2","-0.8","36.2","31","0.01296"
"MOODENGUSDT","1.9","-1.4","-6.6","39.1","31","0.03691"
"SAFEUSDT","-0.6","2.5","-1.1","51.8","31","0.08259"
"SANTOSUSDT","2.8","0.5","-10.7","18","31","0.5118"
"COWUSDT","-0.3","-0.6","-8.6","12.9","31","0.1317"
"CETUSUSDT","0.4","-4.4","7.1","27.7","31","0.01815"
"1000000MOGUSDT","0.6","-0.2","-6","21.2","31","0.1"
"GRASSUSDT","2","-4.1","-30.2","41.1","31","0.3426"
"DRIFTUSDT","3.5","-4.1","-19.7","19.1","31","0.01274"
"ACTUSDT","5.4","12.4","14.5","107.7","31","0.009125"
"PNUTUSDT","3.7","3.7","0.3","22.6","31","0.04192"
"BANUSDT","-1.1","1.8","0.1","19.3","31","0.07491"
"AKTUSDT","-3.3","-8.2","-26.2","13.7","31","0.4759"
"SCRTUSDT","1.4","-7.6","-27.1","64.3","31","0.03904"
"1000CHEEMSUSDT","0.3","-3.6","-8.4","13.9","31","0.000453"
"THEUSDT","1.6","5","-4.7","88.1","31","0.05523"
"MORPHOUSDT","2.5","-0.6","10.9","42.5","31","1.9872"
"CHILLGUYUSDT","9.7","31.4","50.3","76.9","31","0.012482"
"KAIAUSDT","-4.3","-8.4","-15","12.2","31","0.02971"
"AEROUSDT","-1","-8.7","-12.6","36","31","0.4128"
"ACXUSDT","1.1","-1.9","-2.7","23","31","0.04165"
"ORCAUSDT","0.9","-1.8","-0.2","22.9","31","1.184"
"MOVEUSDT","-1","-8.2","-11.9","24.2","31","0.0098"
"RAYSOLUSDT","0.3","-7.6","-1.1","32.6","31","0.625"
"KOMAUSDT","2.4","6.4","9.6","35.4","31","0.007834"
"VIRTUALUSDT","-0.9","-5.1","10.4","36.2","31","0.5831"
"SPXUSDT","1.3","-2.9","-0.1","40.9","31","0.3324"
"MEUSDT","-1.9","6","9.1","31.3","31","0.06527"
"AVAUSDT","5.9","6.1","-5.7","23","31","0.1632"
"VELODROMEUSDT","-0.1","-6.7","-5.5","56.5","31","0.01725"
"MOCAUSDT","0.2","2.6","2.7","21.9","31","0.00873"
"VANAUSDT","-5.9","1.6","8.6","32.6","31","1.175"
"PENGUUSDT","2.1","0.7","-0.7","23.5","31","0.006162"
"LUMIAUSDT","0.6","-4.2","-43.4","81.7","31","0.07003"
"USUALUSDT","1.4","-1.2","-4.4","22.4","31","0.00848"
"AIXBTUSDT","1","-0.7","-7.4","18.3","31","0.01807"
"FARTCOINUSDT","0.9","-5.3","-3.6","56.3","31","0.1261"
"KMNOUSDT","1","-2.4","-12.2","21.5","31","0.01779"
"CGPTUSDT","0.1","-3.8","-0.6","17.7","31","0.01857"
"HIVEUSDT","2.5","-1.2","-5.8","15.6","31","0.04728"
