"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"UNIUSDT","8.9","06-06 04:00","2137","3.67","1.18","17","-28.2","-42.2",,"0.0019","1.27","1.06","4","-29.1","-38.4",,"0.005"
"AVAXUSDT","7.5","06-06 04:00","2132","4.93","1.83","1","-28.8","-37.8",,"-0.0028","2.17","1.31","1","-23.1","-30.2",,"-0.0019"
"ENJUSDT","21.3","06-11 16:00","2126","0.48","0.75","43","-24.7","-47.2",,"0.0002","0.85","0.7","29","-26.6","-46.7",,"-0.0037"
"KSMUSDT","7.3","06-10 21:00","2111","0.69","0.57","9","-24.1","-49.1",,"0.0098","0.71","0.74","38","-22.2","-47",,"0.0081"
"NEARUSDT","32.2","05-21 12:00","2110","1.12","1.45","77","16.2","-2.6",,"0.0026","1.09","1.3","77","9.6","-3",,"0.0011"
"AAVEUSDT","6.8","06-10 21:00","2109","0.75","0.53","32","-26.6","-40.7",,"-0.0059","0.77","0.53","47","-27.5","-39.7",,"-0.0085"
"FILUSDT","11.9","06-02 15:00","2109","0.73","0.82","25","-3.1","-31.1",,"-0.0009","1.29","0.61","16","-3","-31.4",,"0.0019"
"RSRUSDT","9.1","06-07 00:00","2106","1.66","1.13","38","-22.8","-40.9",,"0.0024","1.39","1.32","31","-20.4","-40",,"0.0021"
"BELUSDT","14.7","05-29 05:00","2076","1.48","1.12","22","-16.2","-26.2",,"0.0093","1.93","1.29","14","-17.1","-26.3",,"0.0066"
"AXSUSDT","13","05-29 02:00","2074","2.13","1.78","66","-9.4","-22.4",,"0.0001","0.96","1.1","7","-11","-23.9",,"0.0003"
"ZENUSDT","14.6","05-19 23:00","2070","0.98","0.97","58","-21.5","-27.2",,"0.001","0.84","0.78","89","-14.2","-25.9",,"0.006"
"SKLUSDT","7","06-06 04:00","2162","3.33","2.56","9","-29.5","-44.2",,"0.005","1.83","1.72","1","-25","-39.2",,"0.005"
"GRTUSDT","10.7","05-25 13:00","2046","1.13","1.16","46","-6.1","-13",,"0.009","1.02","2.12","43","-7.4","-13.6",,"0.0014"
"1INCHUSDT","5.7","06-06 04:00","2039","3.11","2.07","11","-25","-36",,"-0.0043","1.84","1.89","2","-21.9","-30.9",,"0.0013"
"CHZUSDT","13","05-16 07:00","2012","1.08","1.51","46","70.9","-6.4",,"0.0052","0.99","0.76","55","54.9","-7.7",,"0.0058"
"SANDUSDT","7","06-06 04:00","2015","2.07","1.15","12","-27.1","-39.7",,"0.0016","1.67","1.11","4","-24.4","-34.8",,"0.0045"
"ANKRUSDT","8.6","06-10 21:00","2008","0.73","0.7","4","-19.8","-34.7",,"0.0037","0.97","0.9","28","-18.6","-32.5",,"0.0025"
"RVNUSDT","6.8","06-06 04:00","1979","2.61","1.74","3","-25","-36.6",,"0.005","1.98","1.43","17","-19.9","-31.1",,"0.005"
"SFPUSDT","14","05-30 00:00","1978","0.93","1.46","75","-8.3","-21",,"0.0065","0.87","1.14","54","-12.7","-21.2",,"0.0065"
"COTIUSDT","9.2","05-31 18:00","1965","0.81","1.03","47","-7.5","-23.7",,"0.01","0.93","1.17","89","-7.1","-22.2",,"0.0084"
"CHRUSDT","12","05-29 08:00","1962","1.14","0.8","45","-18.1","-33",,"0.0094","2.8","0.88","17","-19.9","-35.2",,"0.0075"
"MANAUSDT","7.3","06-10 21:00","1960","0.66","0.58","5","-23.5","-37.6",,"-0.0015","0.71","0.66","45","-22.5","-35.4",,"-0.0014"
"ALICEUSDT","12.8","05-17 19:00","1959","0.6","0.37","27","-11.6","-20.5",,"0.0024","0.79","0.44","31","24.8","-19.1",,"0"
"HBARUSDT","19.7","05-29 00:00","1957","3.9","2.73","86","-4.7","-8.7",,"0.0039","1.39","1","14","-8.5","-14",,"0.0048"
"ONEUSDT","11","05-31 16:00","1957","0.62","1","57","-12.6","-31.7",,"0.01","0.54","0.97","75","-13.9","-31.9",,"0.01"
"CELRUSDT","12.5","05-29 08:00","1945","0.78","0.79","42","-16.4","-26.6",,"0.01","1.77","0.95","21","-17.7","-27.4",,"0.01"
"HOTUSDT","5.5","06-10 21:00","1944","0.99","0.92","12","-19.2","-36.4",,"-0.0114","0.99","0.9","42","-19.9","-34.7",,"-0.0105"
"MTLUSDT","16.1","05-22 06:00","1943","0.96","1.69","75","-7.7","-11.4",,"0.0063","0.45","0.69","72","-9.1","-13.4",,"0.0062"
"OGNUSDT","5.9","06-06 04:00","1943","3.33","2.17","14","-22.3","-33.1",,"-0.0022","2.02","1.26","2","-19.1","-27.1",,"0.0032"
"1000SHIBUSDT","7.7","06-06 04:00","1903","2.65","1.63","13","-20.5","-32.8",,"-0.0117","1.81","1.54","3","-17.6","-27.8",,"-0.0073"
"GTCUSDT","14.1","05-21 06:00","1959","0.47","0.26","50","12.7","-50.5",,"0.0042","0.16","0.07","83","18.9","-49",,"0.0042"
"BTCDOMUSDT","5.1","06-05 04:00","1865","2.04","1.11","99","-1.1","-2.5",,"0.0306","1.79","1.5","38","-4.4","-5.5",,"0.0276"
"IOTXUSDT","12","05-29 03:00","1810","1.31","1.12","30","-19.1","-27.5",,"0.01","0.91","1.05","19","-16.4","-25.7",,"0.0088"
"C98USDT","7.9","06-10 21:00","1798","0.65","0.86","7","-31.8","-41.5",,"0.009","0.45","0.72","61","-26.3","-37.9",,"0.009"
"MASKUSDT","6.5","06-06 04:00","1836","2.79","2.15","11","-23.3","-36.9",,"-0.0005","1.77","1.28","5","-20.6","-31.7",,"0.0028"
"DYDXUSDT","17","05-28 13:00","1781","1.34","2.1","9","-3.8","-29.3",,"0.005","0.88","2.02","72","9.2","-19.3",,"0.0076"
"1000XECUSDT","5.8","06-10 21:00","1774","0.66","0.64","10","-23.4","-49.5",,"-0.002","0.67","0.73","49","-21.6","-47.8",,"-0.0005"
"GALAUSDT","9.1","06-10 21:00","1773","0.58","0.6","16","-19.8","-44.3",,"0.0001","0.62","0.6","54","-20.2","-42.6",,"-0.0023"
"CELOUSDT","7.7","06-10 21:00","1764","0.7","0.44","10","-21.6","-44.6",,"0.0097","0.59","0.45","53","-21.1","-42.6",,"0.0086"
"ARUSDT","19.9","06-02 23:00","1762","1.76","0.85","5","1.1","-24.3",,"-0.0048","1.56","0.7","36","7.8","-18.3",,"-0.0094"
"ARPAUSDT","11.4","05-18 09:00","1742","3.49","0.64","12","7.9","-11.7",,"0.01","3.37","1.7","68","21.8","-3.9",,"0.0099"
"CTSIUSDT","35.1","06-06 09:00","1735","2.54","1.03","31","-24.4","-36.8",,"0.01","1.93","0.9","12","-25.5","-35.1",,"0.01"
"LPTUSDT","13.4","05-21 10:00","1719","0.41","0.56","70","-8.9","-16",,"-0.0015","0.49","0.63","55","-10.2","-16.5",,"0.0004"
"ENSUSDT","7.8","06-06 04:00","1700","1.78","1.43","11","-26.7","-44.6",,"-0.0141","1.42","1.21","3","-23.2","-39.4",,"-0.0058"
"PEOPLEUSDT","8.5","06-06 04:00","1676","3.04","2.17","25","-21.5","-41.1",,"0.0089","1.65","1.84","23","-20.8","-37.4",,"0.01"
"ROSEUSDT","7.1","06-10 21:00","1668","0.65","0.59","8","-35.5","-49.9",,"0.0075","0.89","0.6","35","-34.8","-48",,"0.0095"
"DUSKUSDT","21.6","05-16 14:00","1662","1.43","2.82","10","47.7","-14.4",,"0.0046","2.43","2.78","62","52.4","-7.3",,"0.0039"
"FLOWUSDT","12.4","06-10 03:00","1628","0.53","0.52","24","-20.8","-40.5",,"0.005","1.58","0.59","37","-21.7","-40.1",,"0.005"
"IMXUSDT","12.3","05-13 15:00","1627","1.43","1.3","63","37.3","-3.2",,"0.003","1.52","1.2","5","31.2","-7.7",,"0.003"
"API3USDT","7.5","06-06 04:00","1616","2.96","1.95","19","-23.2","-37.3",,"0.0049","1.51","1.34","10","-23.6","-33.7",,"0.005"
"GMTUSDT","30.3","05-22 19:00","1595","0.43","0.79","36","-13.8","-24",,"0.0033","0.5","0.61","83","-9","-22.8",,"-0.0014"
"APEUSDT","14.8","05-29 02:00","1592","2.31","1.29","37","-16.3","-26.9",,"-0.0015","1.25","1.34","14","-13","-25.3",,"0.0025"
"WOOUSDT","7.5","06-10 21:00","1571","0.71","0.65","9","-24.4","-40",,"0.01","0.93","0.71","29","-23.4","-38.1",,"0.0089"
"JASMYUSDT","11","06-12 22:00","1559","0.36","0.54","61","-14.9","-39.9",,"0.0097","0.53","0.66","96","-13.2","-38.4",,"0.0082"
"OPUSDT","11.9","06-12 13:00","1516","0.48","0.8","85","-14.2","-45.4",,"-0.004","0.38","0.68","54","-19.8","-48.5",,"-0.0059"
"INJUSDT","25.2","05-28 15:00","1440","1.32","0.94","9","2.2","-13",,"-0.0216","0.61","1.21","31","3.8","-7.3",,"-0.0196"
"STGUSDT","78.1","05-30 21:00","1432","6.85","24.58","92","14.5","-17.6",,"-0.0204","2.54","2.03","95","-11.5","-35.6",,"0.0093"
"SPELLUSDT","4.7","06-07 19:00","1420","2.16","0.76","50","-20.9","-34.1",,"-0.0143","3.33","1.13","16","-23.3","-35.1",,"-0.0121"
"1000LUNCUSDT","20","06-06 04:00","1417","2.25","1.11","1","-30.6","-53.7",,"-0.0177","0.87","0.71","15","-21","-47.6",,"-0.0479"
"LUNA2USDT","7.9","06-06 04:00","1416","2.55","1.28","14","-21.3","-39",,"-0.0017","1.02","0.82","11","-19.3","-34.9",,"0.0036"
"LDOUSDT","8.3","06-06 04:00","1404","2.91","1.56","15","-25.5","-43.7",,"-0.0075","1.74","1.8","5","-25.2","-40.8",,"0.0014"
"ICPUSDT","15","06-12 21:00","1822","0.13","0.47","63","-13.6","-44.6",,"-0.0119","0.28","0.4","76","-16.5","-44.2",,"-0.0044"
"APTUSDT","8.6","06-06 04:00","1377","2.62","1.4","12","-30.8","-47.6",,"-0.0153","1.84","1.43","3","-26.7","-41.8",,"-0.0133"
"QNTUSDT","11.2","05-21 16:00","1377","0.28","0.33","22","4.3","-14.1",,"0.0026","0.93","0.38","27","4.3","-13.2",,"0.0024"
"FETUSDT","19.8","05-29 14:00","1288","0.83","1.07","48","14.6","-11.4",,"0.0033","3.85","1.71","4","0.8","-16.7",,"0.0066"
"MAGICUSDT","8.7","05-13 15:00","1280","1.39","2.2","8","51.3","-7.5",,"0.005","1.3","1.88","41","52.8","-4",,"0.005"
"TUSDT","7.1","06-06 04:00","1272","3.73","1.62","14","-30.6","-42.9",,"0.0048","1.68","1.41","2","-27.1","-38.6",,"0.0045"
"MINAUSDT","7.5","06-06 04:00","1269","3.21","1.81","9","-26.7","-42.4",,"0.0031","2.13","1.56","4","-23.5","-37.7",,"0.0065"
"ASTRUSDT","28.9","06-10 03:00","1259","0.72","0.77","9","-29.1","-45.3",,"0.0087","1.26","0.75","11","-28.7","-43.9",,"0.0087"
"GMXUSDT","8.5","06-06 04:00","1256","2.83","1.25","29","-21.7","-31.9",,"0.0086","2.21","1.18","6","-21.7","-29.5",,"0.01"
"CFXUSDT","13.2","05-13 17:00","1253","0.97","1.37","54","53.2","-6.3",,"0.0038","2.1","0.54","15","40.3","-10",,"0.0037"
"STXUSDT","10.3","06-06 04:00","1252","2.83","2.05","26","-26.8","-40.9",,"-0.0253","2.28","1.71","3","-26.4","-38.2",,"-0.0169"
"ACHUSDT","10.1","06-10 21:00","1251","0.93","0.85","11","-22.5","-44.9",,"0.01","0.98","0.99","35","-19.3","-43.2",,"0.01"
"SSVUSDT","12","06-10 21:00","1249","0.54","0.73","35","-17.4","-39",,"0.0095","0.88","0.85","34","-20.7","-38.8",,"0.0076"
"CKBUSDT","9.1","06-10 21:00","1245","0.53","0.62","14","-22.2","-42.1",,"0.0063","0.6","0.63","51","-21.2","-40.5",,"0.0062"
"LQTYUSDT","12.1","05-30 22:00","1236","1.53","2.15","48","-9","-26.8",,"0.01","1.4","1.03","48","-16.1","-30.1",,"0.0091"
"USDCUSDT","0.1","06-10 03:00","1232","0.22","0.5","77","-0.1","-0.2",,"-0.0013","0.19","0.53","0","-0.1","-0.3",,"0.0014"
"IDUSDT","59.8","05-29 04:00","1221","2.31","2.32","74","-12.3","-21.2",,"0.005","3.07","1.01","3","-18.2","-27.1",,"0.0061"
"ARBUSDT","11","06-10 21:00","1221","0.66","0.79","11","-27.7","-48.4",,"-0.0009","0.75","0.64","49","-24.8","-45.6",,"0.0036"
"JOEUSDT","9.5","05-18 16:00","1216","0.92","0.82","10","-14.4","-24.6",,"0.0011","1.09","0.41","6","-11.8","-23",,"0.0007"
"TLMUSDT","8.8","05-13 15:00","1215","1.23","1.02","14","97.1","-8.6",,"0.005","2.34","1.75","12","93.8","-6.6",,"0.005"
"HFTUSDT","13.4","05-29 08:00","1208","2.54","0.7","31","-30.7","-40.4",,"0.0092","2.92","0.76","28","-31.3","-40.2",,"0.0106"
"XVSUSDT","8.1","06-07 21:00","1201","1.67","0.68","62","-12.6","-20.7",,"-0.0122","2.49","1.17","29","-16.8","-22",,"-0.018"
"BLURUSDT","8.7","06-10 21:00","1186","0.49","0.57","4","-20.5","-41.2",,"0.0025","0.63","0.64","70","-18.8","-38.7",,"0.0035"
"EDUUSDT","12.7","06-10 22:00","1185","1.72","0.88","2","-43.4","-55.4",,"0.0074","1.61","0.72","11","-40.7","-52.6",,"0.0069"
"SUIUSDT","12.1","06-06 04:00","1180","3.66","1.4","17","-32.9","-50.8",,"0.0027","1.26","1.38","2","-34.2","-48.4",,"0.002"
"1000PEPEUSDT","8","06-06 04:00","1178","3.35","1.68","11","-26.1","-42.1",,"-0.0069","1.43","1.54","6","-24.2","-37.5",,"-0.002"
"1000FLOKIUSDT","9.1","06-06 04:00","1177","2.82","1.53","22","-20.1","-39.7",,"-0.0371","1.43","1.38","3","-21.8","-37.2",,"-0.0234"
"UMAUSDT","7.1","06-06 04:00","1174","2.57","1.43","20","-20.4","-37.3",,"-0.0021","1.46","1.52","12","-19.5","-33.6",,"0.0029"
"NMRUSDT","14.2","05-15 21:00","1130","1.53","0.76","56","6.7","-8.3",,"0.0027","2.13","0.84","48","9.7","-7.2",,"0.004"
"MAVUSDT","7.7","06-06 04:00","1123","2.61","1.17","10","-24.7","-42.7",,"-0.0141","1.37","1.03","2","-21.1","-37.5",,"-0.0003"
"XVGUSDT","12","05-19 19:00","1117","0.98","0.89","39","-12.1","-21",,"0.01","1.76","0.86","17","-14.3","-22.4",,"0.01"
"WLDUSDT","41.6","06-02 23:00","1098","0.9","1.49","36","66.1","-18.2",,"0.0061","2.13","1.12","90","79.1","-2.8",,"0.0047"
"PENDLEUSDT","10.6","05-24 16:00","1094","0.91","1.04","42","-8.8","-17.7",,"-0.0076","1.02","1.14","27","-11.4","-18.4",,"-0.0062"
"ARKMUSDT","19","05-23 07:00","1094","1.13","2.32","17","-9.6","-15.6",,"0.0084","1.13","1.38","83","-4.2","-10.1",,"0.0038"
"AGLDUSDT","8.7","06-02 14:00","1093","2.65","4.32","20","-6","-21.8",,"0.0053","0.53","1.12","24","-4.7","-21.3",,"0.0043"
"YGGUSDT","10","05-31 19:00","1086","0.59","0.74","28","-8.8","-30.2",,"0.005","0.7","0.78","72","-7.6","-28.7",,"0.0035"
"DODOXUSDT","30.4","06-07 20:00","1083","1.75","3.36","1","-17.2","-44.8",,"-0.0012","1.69","3.72","18","-19.7","-41.6",,"-0.0017"
"BNTUSDT","5.9","05-13 15:00","1081","0.89","1.02","26","24.2","-3.8",,"0.0004","0.67","1.04","15","21.8","-3.5",,"0.0082"
"SEIUSDT","13.5","05-26 07:00","1074","1.02","0.97","94","-12","-20.1",,"-0.0048","1.34","1.08","77","-17.2","-22.3",,"-0.0183"
"CYBERUSDT","8","06-06 04:00","1070","3.1","1.42","7","-26.6","-41.3",,"0.0047","1.77","1.42","1","-22.4","-35.7",,"0.005"
"ARKUSDT","9.6","06-09 15:00","1040","1.06","0.58","10","-28.2","-40.5",,"0.0047","0.93","0.43","59","-24.4","-36.4",,"0.005"
"BICOUSDT","16.3","05-23 00:00","1032","0.63","1.93","24","-2.9","-10.2",,"0.0051","1.04","1.51","82","3","-7.3",,"0.0021"
"BIGTIMEUSDT","7.2","06-07 19:00","1017","1.55","0.51","65","-28.5","-44.6",,"0.005","3.49","1.56","27","-31.8","-45.3",,"0.005"
"WAXPUSDT","7.9","06-06 04:00","1011","3.45","1.54","2","-25.1","-37.1",,"0.005","2.34","1.93","3","-21.2","-32.4",,"0.005"
"BSVUSDT","7.2","06-01 13:00","1010","0.92","0.59","15","-8","-25.3",,"0.005","1.16","1.15","38","-9.3","-23.6",,"0.0014"
"RIFUSDT","57","06-12 22:00","1009","1.97","2.21","100","21.6","-12.4",,"0.0002","0.97","0.43","96","-12.3","-29.5",,"0.005"
"POLYXUSDT","21.7","05-14 03:00","1005","1.24","1.78","24","38.9","-6.6",,"0.0025","0.77","1.58","71","44.7","-1.5",,"0.0025"
"GASUSDT","8","06-06 04:00","1005","4.09","1.72","4","-30.2","-39.5",,"0.005","1.49","1.6","2","-25.4","-33.6",,"0.005"
"POWRUSDT","5.7","06-06 04:00","1003","2.28","0.79","8","-24.8","-31.5",,"-0.0002","1.81","0.9","2","-20.3","-26.1",,"0.0005"
"TIAUSDT","19.3","05-24 21:00","998","1.32","1.08","29","-7.6","-21.1",,"0.0003","0.9","1.65","86","2","-13.6",,"0.0016"
"CAKEUSDT","12.2","05-29 18:00","997","2.42","1.17","42","-9.6","-17.8",,"0.0023","1.38","1.11","35","-12.4","-17.9",,"0.0032"
"MEMEUSDT","19","06-06 07:00","996","1.97","1.83","11","11.8","-20.2",,"-0.0304","2.43","1.84","80","18.6","-4.3",,"-0.0228"
"TWTUSDT","8.8","06-07 00:00","995","5.14","1.95","3","-25.2","-36.3",,"0.0028","4.78","1.99","15","-16.4","-30.2",,"0.0035"
"ORDIUSDT","16.2","05-31 23:00","992","0.71","0.63","56","-16.2","-42",,"0.0037","0.57","0.79","51","-20.6","-42.6",,"0.0027"
"STEEMUSDT","8","05-30 06:00","990","0.33","0.29","81","-10.2","-25",,"0.004","3.51","0.34","32","-13.5","-25.8",,"-0.0007"
"ILVUSDT","6.4","05-13 15:00","988","1.72","1.43","24","54.9","-7.6",,"0.005","2.42","1.26","11","49.2","-8.7",,"0.005"
"KASUSDT","13.2","06-02 22:00","982","1.48","1.31","30","-13","-28.7",,"0.0026","1.29","1.12","56","-12.9","-26.4",,"0.0022"
"BEAMXUSDT","9.7","05-20 13:00","981","0.52","0.54","53","-13","-20.8",,"0.005","0.74","0.64","40","-12","-20.9",,"0.005"
"1000BONKUSDT","7.2","06-06 04:00","976","3.69","1.54","16","-28.9","-49.2",,"-0.0077","1.11","1.41","4","-27","-45",,"-0.0039"
"PYTHUSDT","23.8","06-10 20:00","976","0.68","0.81","40","-24.7","-50.8",,"0.002","0.74","0.54","44","-22.7","-50.6",,"0.0024"
"SUPERUSDT","20","05-23 02:00","972","0.73","0.78","22","-16.4","-18.7",,"0.0043","0.57","0.58","82","-9.2","-15.3",,"0.004"
"USTCUSDT","16","05-30 14:00","972","1.45","1.21","70","2.8","-22.8",,"0.0034","2.99","1.76","61","3.7","-23.9",,"0.0023"
"ONGUSDT","8.2","05-26 10:00","971","0.61","0.44","19","-12.3","-19",,"0.0041","1.28","0.87","40","-11.2","-17.1",,"0.0046"
"ETHWUSDT","10.1","06-02 18:00","971","0.75","0.65","35","0.1","-24.2",,"0.005","0.44","0.63","78","8.3","-20.5",,"0.005"
"JTOUSDT","33.1","05-20 02:00","961","0.64","0.43","23","5.1","-40.7",,"0.0009","0.68","0.36","12","6.9","-40.1",,"0.0001"
"1000SATSUSDT","6.3","05-24 21:00","956","1.56","0.96","34","-20.2","-24.7",,"0.0032","0.95","1.03","77","-17.4","-20",,"0.0039"
"AUCTIONUSDT","6.4","06-06 04:00","953","2.9","1.52","13","-21.2","-32.3",,"0.0049","1.82","1.51","8","-17.8","-28.2",,"0.005"
"1000RATSUSDT","26.4","06-08 05:00","953","0.72","0.68","64","-19.3","-34",,"0.0099","1.16","1.17","38","-22.1","-33.9",,"0.0065"
"ACEUSDT","7.5","06-06 04:00","951","3.25","0.67","16","-25.5","-51.1",,"0.005","3.07","0.87","21","-22.3","-46.7",,"0.005"
"MOVRUSDT","18.9","06-11 11:00","943","0.59","0.64","44","-31.1","-57.7",,"0.005","0.51","0.68","12","-35.7","-57.8",,"0.005"
"XAIUSDT","7.5","06-06 04:00","928","3.27","1.13","5","-24.9","-42.5",,"0.0033","1.38","1.04","2","-20.1","-36",,"0.005"
"WIFUSDT","10.9","06-06 04:00","919","2.04","2.13","11","-21.7","-41.7",,"-0.0036","1.71","2.31","1","-21.1","-38",,"0.0031"
"MANTAUSDT","19.1","06-06 04:00","919","0.76","1.66","15","-1.8","-17.5",,"0.005","0.76","1.31","47","2.3","-13.6",,"0.005"
"ONDOUSDT","18.8","06-02 06:00","917","0.82","0.89","33","-9.3","-27.7",,"-0.0169","0.65","0.83","34","5.6","-26.9",,"-0.0152"
"LSKUSDT","6.6","06-06 04:00","912","2.86","1.19","5","-23.4","-35.5",,"0.0036","1.43","0.85","1","-19.5","-31.1",,"0.0029"
"ALTUSDT","42.9","05-21 11:00","912","1.62","2.97","55","-7.4","-12.7",,"-0.012","1.26","1.13","51","-15.8","-19.9",,"0.0002"
"JUPUSDT","11.5","06-10 21:00","906","0.79","0.53","4","-22.2","-46.8",,"-0.0142","0.76","0.61","46","-20.9","-43.4",,"-0.0119"
"ZETAUSDT","11.1","06-10 03:00","905","0.76","0.74","17","-29.1","-46.1",,"0.0045","1.47","0.71","6","-29.4","-45.9",,"0.005"
"RONINUSDT","46.3","05-17 23:00","901","0.81","0.41","16","-3.7","-24.4",,"-0.0004","0.96","0.6","10","58","-22.6",,"0.0023"
"DYMUSDT","18.8","06-10 22:00","900","1.14","0.59","7","-36.8","-58",,"0.005","0.73","0.46","31","-36.9","-55.9",,"0.005"
"PIXELUSDT","9.7","05-31 19:00","887","0.68","1.21","31","-5.8","-27.4",,"0.0049","0.78","1.09","68","-6.2","-25.8",,"0.0049"
"STRKUSDT","12.5","05-19 19:00","886","0.8","0.64","29","5.2","-36.9",,"0.0014","0.94","0.38","5","2.6","-38.1",,"0.0026"
"GLMUSDT","6.7","06-10 21:00","885","1.08","0.69","3","-21.6","-32.9",,"0.0014","0.88","0.6","36","-20.9","-29.3",,"-0.0001"
"PORTALUSDT","194.3","05-31 05:00","877","17.11","107.07","69","70.7","-19.6",,"-0.1475","0.92","0.95","100","-14.3","-32.9",,"0.005"
"AXLUSDT","24.5","06-12 05:00","876","0.46","0.55","72","-15.8","-52.8",,"0.005","0.47","0.51","62","-16","-53",,"0.005"
"METISUSDT","9.7","06-12 15:00","866","0.38","0.53","96","-16.5","-37.8",,"0.005","0.42","0.52","78","-17.5","-39.8",,"0.005"
"AEVOUSDT","8.4","06-10 21:00","864","0.81","0.77","5","-23.3","-45",,"0.005","0.77","0.93","38","-21.3","-42.6",,"0.005"
"VANRYUSDT","8.9","05-29 12:00","864","3.55","1.4","10","-23","-33.3",,"0.005","2.95","1.23","9","-21.9","-30.8",,"0.005"
"BOMEUSDT","15.3","05-18 07:00","862","0.75","0.94","25","2.7","-15.4",,"0.0029","1.46","0.76","48","34.7","-12.5",,"0.001"
"ETHFIUSDT","10.9","06-06 04:00","859","2.12","1.37","21","-22.7","-41",,"0.0042","1.53","1.34","4","-18.9","-34.6",,"0.0044"
"ENAUSDT","39.2","06-02 15:00","845","1.1","1.04","25","-18.2","-39.7",,"-0.0012","0.94","0.97","16","-16.5","-38.6",,"-0.002"
"WUSDT","15.5","05-31 03:00","843","0.45","0.68","78","-8.7","-29.2",,"-0.0006","0.73","1.03","93","-10.4","-28.6",,"-0.0074"
"TNSRUSDT","6.9","06-10 21:00","838","0.96","0.62","7","-25","-44.1",,"0.005","0.8","0.63","39","-24.5","-41.5",,"0.005"
"SAGAUSDT","36.9","05-24 13:00","838","0.8","0.47","30","2.8","-71.8",,"0.0047","0.3","0.37","50","0.4","-70.9",,"0.0048"
"TAOUSDT","24.2","06-13 00:00","835","0.38","0.52","66","-15.3","-36.3",,"0.0007","0.65","0.61","79","-18.3","-35.9",,"0.0016"
"REZUSDT","6.4","06-06 04:00","816","2.52","1.43","14","-29.1","-55.6",,"0.005","1.16","1.3","11","-28.1","-52",,"0.005"
"BBUSDT","22","05-19 20:00","804","0.91","0.23","29","-16.3","-27.8",,"0.0034","2.03","0.26","40","-15.8","-25.2",,"0.0029"
"NOTUSDT","25","06-12 10:00","800","0.47","1.13","88","-4.6","-45.8",,"0.0041","0.64","0.68","87","-4.2","-47.3",,"0.0045"
"TURBOUSDT","9.4","06-06 04:00","786","2.02","1.45","10","-27.3","-46.9",,"0.0014","1.58","1.35","8","-27.1","-42.5",,"0.003"
"IOUSDT","34.6","05-28 09:00","774","1.08","5.51","9","14.5","-25.6",,"-0.0105","2.31","9.18","63","12.5","-21.1",,"-0.0174"
"ZKUSDT","11","05-29 05:00","769","2.6","1.5","19","-22.6","-33.6",,"0.0002","2.4","1.45","8","-22.6","-32.8",,"0.001"
"MEWUSDT","7.5","06-10 21:00","768","0.57","0.56","12","-33.9","-53.2",,"0.005","0.64","0.57","40","-32.9","-51.4",,"0.0047"
"LISTAUSDT","8.2","05-29 16:00","766","5.27","2.51","35","-20.2","-33.6",,"0.005","6.11","2.52","9","-30.9","-37.2",,"0.005"
"ZROUSDT","12","06-02 22:00","765","1.18","1.39","84","-13.5","-26.3",,"0.005","0.74","1.09","43","-15.1","-27.4",,"0.005"
"RENDERUSDT","18","05-25 07:00","730","2.1","1.58","97","2.1","-3.9",,"0.0044","2.33","2.45","65","-1.5","-5.6",,"0.004"
"BANANAUSDT","6.3","06-06 04:00","710","3.3","1.3","7","-24.5","-44.6",,"-0.0017","1.56","1.22","2","-22.6","-40.6",,"0.0012"
"RAREUSDT","7.3","05-29 03:00","709","1.44","1.55","73","-13.5","-22.3",,"-0.0023","1.08","1.05","26","-12.5","-23.2",,"-0.0002"
"GUSDT","7.4","05-29 07:00","710","1.29","0.85","55","-12.4","-20.5",,"0.0049","2.02","1.32","19","-14.3","-22.6",,"0.0045"
"SYNUSDT","30.1","06-12 18:00","709","0.79","1","59","-27","-48.8",,"0.005","0.98","1.03","36","-27.9","-51.8",,"0.005"
"BRETTUSDT","20","06-13 00:00","705","2.11","5.58","59","-15","-49.4",,"0.002","2.68","5.16","56","-14.5","-49.9",,"0.003"
"POPCATUSDT","8.6","05-24 14:00","702","1.57","1.08","33","-25.3","-31.3",,"-0.0039","0.94","0.96","23","-21.6","-32",,"0"
"SUNUSDT","3.3","06-06 11:00","702","1.15","2.34","23","-14.1","-16.8",,"-0.0022","0.42","2.21","49","-13.7","-15.4",,"0.0013"
"DOGSUSDT","15.2","05-24 16:00","699","1.38","0.67","19","-29.1","-53.4",,"0.0015","1.02","0.63","18","-33","-51.2",,"0.003"
"FLUXUSDT","11.6","05-24 21:00","691","1.85","4.52","73","-14.3","-16.9",,"-0.0041","0.92","1.21","65","-18.9","-20.1",,"0.0021"
"RPLUSDT","9","06-10 21:00","685","0.72","0.53","12","-23.2","-39.7",,"0.005","0.74","0.56","42","-21.5","-37.9",,"0.0047"
"POLUSDT","8.2","06-06 04:00","681","4.84","1.66","21","-16.3","-27.9",,"-0.001","2.07","1.5","1","-9.7","-20.3",,"0.003"
"1MBABYDOGEUSDT","13.5","05-29 21:00","678","1.11","0.87","51","-11.1","-21.6",,"0.0034","1.59","0.88","37","-16.1","-22",,"0.0029"
"NEIROUSDT","14.3","06-08 05:00","678","2.34","0.6","63","-33.9","-44.2",,"0.004","2.43","1.19","52","-32.7","-43.3",,"0.004"
