"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"4USDT","41.7","06-08 00:00","291","1.41","0.9","74","-1","-53.5",,"0.0328","1.24","2.93","62","-7.6","-55.1",,"0.0177"
"GIGGLEUSDT","19.8","06-06 04:00","290","1.75","0.69","11","-21.8","-39.8",,"0.0037","1.59","0.78","18","-21.6","-35.5",,"0.0048"
"MONUSDT","14.7","06-04 09:00","289","1.18","1.38","32","-29.3","-47.4",,"-0.0054","1.7","1.43","36","-19.6","-42.3",,"-0.0002"
"YBUSDT","19.1","06-07 20:00","288","1.84","0.7","48","-37.9","-40.8",,"0.005","2.2","0.72","14","-37.7","-43.1",,"0.005"
"METUSDT","9.9","06-10 21:00","288","0.81","0.56","4","-26.6","-48.7",,"0.004","0.92","0.55","67","-25.1","-46.4",,"0.0045"
"EULUSDT","17","05-29 08:00","285","3.27","4.2","19","-14.3","-27.8",,"0.005","2.23","3.91","8","-16.8","-28.8",,"0.005"
"ENSOUSDT","17","06-11 00:00","285","0.86","0.83","22","-23.8","-44.5",,"0.005","1.11","0.97","19","-24.9","-44",,"0.005"
"CLOUSDT","59","05-28 03:00","285","0.81","2.95","16","-39.6","-57",,"0.0181","0.38","0.57","43","-39.4","-56.8",,"0.005"
"RECALLUSDT","23.7","05-15 14:00","284","1.51","1.65","28","63","-13.9",,"0.0043","2.16","5.81","17","60.3","-14.4",,"0.0043"
"ZBTUSDT","22.5","06-11 22:00","282","2.47","1.24","15","-16.5","-53.6",,"0.005","4.74","1.31","1","-23.3","-54.9",,"0.005"
"LABUSDT","106.1","05-31 12:00","281","3.6","4.65","45","42.3","-21.7",,"-0.1469","5.61","4.01","97","55.6","-6.2",,"-0.0684"
"RIVERUSDT","13.8","05-13 12:00","281","1.05","0.88","80","36.1","-3.4",,"0.0316","0.85","0.78","23","20","-10.7",,"0.0233"
"BLUAIUSDT","74.5","06-05 13:00","278","1.65","0.85","36","37","-25.3",,"0.0184","1.28","1.87","20","40","-24.1",,"0.025"
"TURTLEUSDT","9.6","06-10 21:00","276","0.92","0.88","9","-18.4","-41.1",,"0.0049","0.64","0.61","27","-17.9","-38.9",,"0.005"
"APRUSDT","50","06-02 02:00","276","0.82","0.94","30","9.3","-23.1",,"0.005","1.72","5.08","3","1.3","-23.9",,"0.0116"
"ONUSDT","11.9","05-19 04:00","275","0.72","0.52","63","-10.3","-38.6",,"0.005","0.39","0.13","40","-15.4","-40.4",,"0.005"
"KITEUSDT","13.3","06-10 19:00","270","1.58","0.69","10","-17.1","-31.8",,"0.0171","1.03","0.66","7","-11.9","-25.5",,"0.0225"
"ATUSDT","35.6","06-12 05:00","270","0.69","0.38","88","3.6","-35.1",,"0.005","1.28","0.43","39","2.7","-37.4",,"0.005"
